ficha,fechaYHoraInicio
2849,2024/07/01 11:00
2844,2024/07/01 11:00
2840,2024/07/01 11:00
2836,2024/07/01 11:00
2830,2024/07/01 11:00
2827,2024/07/01 11:00
2822,2024/07/01 11:00
2818,2024/07/01 11:00
2817,2024/07/01 11:00
2814,2024/07/01 11:00
2800,2024/07/01 11:00
2799,2024/07/01 11:00
2794,2024/07/01 11:00
2793,2024/07/01 11:00
2789,2024/07/01 11:00
2786,2024/07/01 11:00
2783,2024/07/01 11:00
2781,2024/07/01 11:00
2763,2024/07/01 11:00
2757,2024/07/01 11:00
2755,2024/07/01 11:00
2746,2024/07/01 11:00
2743,2024/07/01 11:00
2740,2024/07/01 11:00
2738,2024/07/01 11:00
2733,2024/07/01 11:00
2731,2024/07/01 11:00
2728,2024/07/01 11:00
2708,2024/07/01 11:00
2685,2024/07/01 11:00
2684,2024/07/01 11:00
2683,2024/07/01 11:00
2673,2024/07/01 11:00
2666,2024/07/01 11:00
2657,2024/07/01 11:00
2651,2024/07/01 11:00
2650,2024/07/01 11:00
2642,2024/07/01 11:00
2639,2024/07/01 11:00
2638,2024/07/01 11:00
2634,2024/07/01 11:00
2633,2024/07/01 11:00
2630,2024/07/01 11:00
2628,2024/07/01 11:00
2626,2024/07/01 11:00
2615,2024/07/01 11:00
2613,2024/07/01 11:00
2576,2024/07/01 11:00
2551,2024/07/01 11:00
2545,2024/07/01 11:00
2544,2024/07/01 11:00
2540,2024/07/01 11:00
2527,2024/07/01 11:00
2517,2024/07/01 11:00
2510,2024/07/01 11:00
2507,2024/07/01 11:00
2491,2024/07/01 11:00
2478,2024/07/01 11:00
2477,2024/07/01 11:00
2475,2024/07/01 11:00
2468,2024/07/01 11:00
2465,2024/07/01 11:00
2447,2024/07/01 11:00
2443,2024/07/01 11:00
2430,2024/07/01 11:00
2429,2024/07/01 11:00
2428,2024/07/01 11:00
2425,2024/07/01 11:00
2424,2024/07/01 11:00
2422,2024/07/01 11:00
2421,2024/07/01 11:00
2418,2024/07/01 11:00
2416,2024/07/01 11:00
2415,2024/07/01 11:00
2413,2024/07/01 11:00
