ficha,fechaYHoraInicio
ARQ00395,2024/07/02 09:00
ARQ00402,2024/07/02 09:00
ARQ00403,2024/07/02 09:00
ARQ00381,2024/07/02 09:00
ARQ00408,2024/07/02 09:00
ARQ00399,2024/07/02 09:00
ARQ00390,2024/07/02 09:00
ARQ00392,2024/07/02 09:00
ARQ00391,2024/07/02 09:00
ARQ00406,2024/07/02 09:00
ARQ00398,2024/07/02 09:00
ARQ00374,2024/07/02 09:00
ARQ00387,2024/07/02 09:00
ARQ00401,2024/07/02 09:00
ARQ00407,2024/07/02 09:00
ARQ00405,2024/07/02 09:00
ARQ00411,2024/07/02 09:00
ARQ00379,2024/07/02 09:00
ARQ00376,2024/07/02 09:00
ARQ00388,2024/07/02 09:00
ARQ00386,2024/07/02 09:00
ARQ00400,2024/07/02 09:00
ARQ00375,2024/07/02 09:00
ARQ00382,2024/07/02 09:00
ARQ00378,2024/07/02 09:00
ARQ00397,2024/07/02 09:00
ARQ00380,2024/07/02 09:00
ARQ00413,2024/07/02 09:00
ARQ00409,2024/07/02 09:00
ARQ00383,2024/07/02 09:00
ARQ00396,2024/07/02 09:00
ARQ00384,2024/07/02 09:00
ARQ00414,2024/07/02 09:00
ARQ00389,2024/07/02 09:00
ARQ00393,2024/07/02 09:00
ARQ00410,2024/07/02 09:00
ARQ00412,2024/07/02 09:00
ARQ00385,2024/07/02 09:00
ARQ00377,2024/07/02 09:00
IIN00216,2024/07/02 09:00
IIN00223,2024/07/02 09:00
IIN00224,2024/07/02 09:00
IIN00222,2024/07/02 09:00
IIN00221,2024/07/02 09:00
IIN00220,2024/07/02 09:00
ADM00439,2024/07/02 09:00
IIN00219,2024/07/02 09:00
IIN00215,2024/07/02 09:00
IIN00218,2024/07/02 09:00
IIN00217,2024/07/02 09:00
ADM00476,2024/07/02 09:00
ADM00450,2024/07/02 09:00
ADM00475,2024/07/02 09:00
ADM00442,2024/07/02 09:00
ADM00467,2024/07/02 09:00
ADM00477,2024/07/02 09:00
ADM00457,2024/07/02 09:00
ADM00472,2024/07/02 09:00
ADM00447,2024/07/02 09:00
ADM00466,2024/07/02 09:00
ADM00444,2024/07/02 09:00
ADM00462,2024/07/02 09:00
ADM00449,2024/07/02 09:00
ADM00464,2024/07/02 09:00
ADM00471,2024/07/02 09:00
ADM00443,2024/07/02 09:00
ADM00448,2024/07/02 09:00
ADM00465,2024/07/02 09:00
ADM00460,2024/07/02 09:00
ADM00455,2024/07/02 09:00
ADM00474,2024/07/02 09:00
ADM00440,2024/07/02 09:00
ADM00459,2024/07/02 09:00
ADM00454,2024/07/02 09:00
ADM00441,2024/07/02 09:00
ADM00468,2024/07/02 09:00
ADM00473,2024/07/02 09:00
ADM00451,2024/07/02 09:00
ADM00453,2024/07/02 09:00
ADM00461,2024/07/02 09:00
ADM00445,2024/07/02 09:00
ADM00469,2024/07/02 09:00
ADM00463,2024/07/02 09:00
ADM00458,2024/07/02 09:00
ADM00446,2024/07/02 09:00
ADM00456,2024/07/02 09:00
ADM00452,2024/07/02 09:00
ITIC00180,2024/07/02 09:00
ITIC00176,2024/07/02 09:00
ITIC00181,2024/07/02 09:00
ITIC00179,2024/07/02 09:00
ITIC00183,2024/07/02 09:00
ITIC00184,2024/07/02 09:00
ITIC00182,2024/07/02 09:00
ITIC00175,2024/07/02 09:00
ITIC00177,2024/07/02 09:00
ITIC00178,2024/07/02 09:00
