ficha,fechaYHoraInicio
5345,2024/07/02 15:00
5220,2024/07/02 15:00
5135,2024/07/02 15:00
4897,2024/07/02 15:00
4755,2024/07/02 15:00
4627,2024/07/02 15:00
4223,2024/07/02 15:00
5309,2024/07/02 15:00
5196,2024/07/02 15:00
4989,2024/07/02 15:00
4905,2024/07/02 15:00
4873,2024/07/02 15:00
5090,2024/07/02 15:00
4738,2024/07/02 15:00
4124,2024/07/02 15:00
5321,2024/07/02 15:00
5317,2024/07/02 15:00
5307,2024/07/02 15:00
5291,2024/07/02 15:00
5270,2024/07/02 15:00
5251,2024/07/02 15:00
5076,2024/07/02 15:00
4060,2024/07/02 15:00
5276,2024/07/02 15:00
5229,2024/07/02 15:00
5202,2024/07/02 15:00
5106,2024/07/02 15:00
5100,2024/07/02 15:00
5073,2024/07/02 15:00
4694,2024/07/02 15:00
4682,2024/07/02 15:00
