ficha,fechaYHoraInicio
56,2024/07/02 10:00
010008,2024/07/02 10:00
010012,2024/07/02 10:00
010013,2024/07/02 10:00
010021,2024/07/02 10:00
010014,2024/07/02 10:00
010017,2024/07/02 10:00
010009,2024/07/02 10:00
010033,2024/07/02 10:00
010016,2024/07/02 10:00
010022,2024/07/02 10:00
010023,2024/07/02 10:00
010034,2024/07/02 10:00
010018,2024/07/02 10:00
010030,2024/07/02 10:00
010036,2024/07/02 10:00
010037,2024/07/02 10:00
030033,2024/07/02 10:00
030043,2024/07/02 10:00
030010,2024/07/02 10:00
030030,2024/07/02 10:00
030028,2024/07/02 10:00
030040,2024/07/02 10:00
030012,2024/07/02 10:00
030013,2024/07/02 10:00
030007,2024/07/02 10:00
030015,2024/07/02 10:00
030016,2024/07/02 10:00
030023,2024/07/02 10:00
030017,2024/07/02 10:00
030021,2024/07/02 10:00
030018,2024/07/02 10:00
030020,2024/07/02 10:00
030022,2024/07/02 10:00
030026,2024/07/02 10:00
030035,2024/07/02 10:00
030024,2024/07/02 10:00
030025,2024/07/02 10:00
030044,2024/07/02 10:00
030029,2024/07/02 10:00
030036,2024/07/02 10:00
030037,2024/07/02 10:00
030047,2024/07/02 10:00
030045,2024/07/02 10:00
030046,2024/07/02 10:00
070011,2024/07/02 10:00
040008,2024/07/02 10:00
040010,2024/07/02 10:00
040007,2024/07/02 10:00
040018,2024/07/02 10:00
040014,2024/07/02 10:00
040019,2024/07/02 10:00
040009,2024/07/02 10:00
040017,2024/07/02 10:00
040015,2024/07/02 10:00
040016,2024/07/02 10:00
040020,2024/07/02 10:00
040021,2024/07/02 10:00
030014,2024/07/02 10:00
070010,2024/07/02 10:00
070012,2024/07/02 10:00
070005,2024/07/02 10:00
070006,2024/07/02 10:00
070013,2024/07/02 10:00
070007,2024/07/02 10:00
070008,2024/07/02 10:00
070015,2024/07/02 10:00
070014,2024/07/02 10:00
