ficha,fechaYHoraInicio
020030,2024/07/02 08:00
020031,2024/07/02 08:00
020032,2024/07/02 08:00
020033,2024/07/02 08:00
020034,2024/07/02 08:00
020035,2024/07/02 08:00
020036,2024/07/02 08:00
020037,2024/07/02 08:00
020038,2024/07/02 08:00
070005,2024/07/02 08:00
020040,2024/07/02 08:00
020041,2024/07/02 08:00
020042,2024/07/02 08:00
020043,2024/07/02 08:00
020044,2024/07/02 08:00
020045,2024/07/02 08:00
020046,2024/07/02 08:00
020047,2024/07/02 08:00
020048,2024/07/02 08:00
020049,2024/07/02 08:00
020050,2024/07/02 08:00
020051,2024/07/02 08:00
020052,2024/07/02 08:00
020053,2024/07/02 08:00
020054,2024/07/02 08:00
020056,2024/07/02 08:00
020057,2024/07/02 08:00
020058,2024/07/02 08:00
020059,2024/07/02 08:00
020060,2024/07/02 08:00
