ficha,fechaYHoraInicio
030001,2024/07/02 12:00
030002,2024/07/02 12:00
030003,2024/07/02 12:00
030004,2024/07/02 12:00
030006,2024/07/02 12:00
030007,2024/07/02 12:00
030008,2024/07/02 12:00
030009,2024/07/02 12:00
030010,2024/07/02 12:00
030011,2024/07/02 12:00
030012,2024/07/02 12:00
030013,2024/07/02 12:00
030014,2024/07/02 12:00
030015,2024/07/02 12:00
030016,2024/07/02 12:00
030017,2024/07/02 12:00
030018,2024/07/02 12:00
030019,2024/07/02 12:00
030020,2024/07/02 12:00
030021,2024/07/02 12:00
030022,2024/07/02 12:00
030024,2024/07/02 12:00
030025,2024/07/02 12:00
030027,2024/07/02 12:00
030028,2024/07/02 12:00
030029,2024/07/02 12:00
030031,2024/07/02 12:00
030032,2024/07/02 12:00
030033,2024/07/02 12:00
030034,2024/07/02 12:00
