ficha,fechaYHoraInicio
030021,2024/07/02 10:00
030022,2024/07/02 10:00
030023,2024/07/02 10:00
030024,2024/07/02 10:00
030025,2024/07/02 10:00
030026,2024/07/02 10:00
030027,2024/07/02 10:00
030028,2024/07/02 10:00
030029,2024/07/02 10:00
030030,2024/07/02 10:00
030031,2024/07/02 10:00
030032,2024/07/02 10:00
030033,2024/07/02 10:00
030034,2024/07/02 10:00
030035,2024/07/02 10:00
030036,2024/07/02 10:00
030037,2024/07/02 10:00
030038,2024/07/02 10:00
030039,2024/07/02 10:00
030040,2024/07/02 10:00
030041,2024/07/02 10:00
030042,2024/07/02 10:00
070092,2024/07/02 10:00
070093,2024/07/02 10:00
070094,2024/07/02 10:00
070095,2024/07/02 10:00
070096,2024/07/02 10:00
