ficha,fechaYHoraInicio
TESCHA-24-2-1-024,2024/07/03 09:00
TESCHA-24-2-1-025,2024/07/03 09:00
TESCHA-24-2-1-026,2024/07/03 09:00
TESCHA-24-2-1-027,2024/07/03 09:00
TESCHA-24-2-1-028,2024/07/03 09:00
TESCHA-24-2-1-029,2024/07/03 09:00
TESCHA-24-2-1-030,2024/07/03 09:00
TESCHA-24-2-1-031,2024/07/03 09:00
TESCHA-24-2-1-032,2024/07/03 09:00
TESCHA-24-2-1-033,2024/07/03 09:00
TESCHA-24-2-1-034,2024/07/03 09:00
TESCHA-24-2-1-035,2024/07/03 09:00
TESCHA-24-2-1-036,2024/07/03 09:00
TESCHA-24-2-1-037,2024/07/03 09:00
TESCHA-24-2-1-038,2024/07/03 09:00
PROM-24-2-1-008,2024/07/03 09:00
PROM-24-2-1-009,2024/07/03 09:00
PROM-24-2-1-010,2024/07/03 09:00
PROM-24-2-1-011,2024/07/03 09:00
PROM-24-2-1-012,2024/07/03 09:00
UAEM-24-2-1-001,2024/07/03 09:00
PROM-DIST-24-2-1-005,2024/07/03 09:00
PROM-DIST-24-2-1-006,2024/07/03 09:00
