ficha,fechaYHoraInicio
2024003,2024/07/05 09:00
2024015,2024/07/05 09:00
2024024,2024/07/05 09:00
2024026,2024/07/05 09:00
2024027,2024/07/05 09:00
2024030,2024/07/05 09:00
2024033,2024/07/05 09:00
2024039,2024/07/05 09:00
2024044,2024/07/05 09:00
2024047,2024/07/05 09:00
2024078,2024/07/05 09:00
2024097,2024/07/05 09:00
2024098,2024/07/05 09:00
2024107,2024/07/05 09:00
2024108,2024/07/05 09:00
2024116,2024/07/05 09:00
2024133,2024/07/05 09:00
2024147,2024/07/05 09:00
2024148,2024/07/05 09:00
2024164,2024/07/05 09:00
2024168,2024/07/05 09:00
2024169,2024/07/05 09:00
2024171,2024/07/05 09:00
2024181,2024/07/05 09:00
2024199,2024/07/05 09:00
2024210,2024/07/05 09:00
2024217,2024/07/05 09:00
2024219,2024/07/05 09:00
2024236,2024/07/05 09:00
