ficha,fechaYHoraInicio
7377,2024/07/06 08:00
7400,2024/07/06 08:00
7423,2024/07/06 08:00
7435,2024/07/06 08:00
7503,2024/07/06 08:00
7517,2024/07/06 08:00
7540,2024/07/06 08:00
7588,2024/07/06 08:00
7590,2024/07/06 08:00
7664,2024/07/06 08:00
7695,2024/07/06 08:00
7744,2024/07/06 08:00
7805,2024/07/06 08:00
7878,2024/07/06 08:00
7923,2024/07/06 08:00
7944,2024/07/06 08:00
7961,2024/07/06 08:00
8010,2024/07/06 08:00
8012,2024/07/06 08:00
8023,2024/07/06 08:00
8147,2024/07/06 08:00
8159,2024/07/06 08:00
8195,2024/07/06 08:00
8268,2024/07/06 08:00
8291,2024/07/06 08:00
8348,2024/07/06 08:00
8411,2024/07/06 08:00
8425,2024/07/06 08:00
8452,2024/07/06 08:00
