ficha,fechaYHoraInicio
7349,2024/07/06 08:00
7361,2024/07/06 08:00
7382,2024/07/06 08:00
7386,2024/07/06 08:00
7393,2024/07/06 08:00
7396,2024/07/06 08:00
7408,2024/07/06 08:00
7412,2024/07/06 08:00
7424,2024/07/06 08:00
7427,2024/07/06 08:00
7436,2024/07/06 08:00
7437,2024/07/06 08:00
7444,2024/07/06 08:00
7447,2024/07/06 08:00
7457,2024/07/06 08:00
7462,2024/07/06 08:00
7463,2024/07/06 08:00
7469,2024/07/06 08:00
7471,2024/07/06 08:00
7473,2024/07/06 08:00
7482,2024/07/06 08:00
7487,2024/07/06 08:00
7492,2024/07/06 08:00
7494,2024/07/06 08:00
7498,2024/07/06 08:00
7502,2024/07/06 08:00
7522,2024/07/06 08:00
7527,2024/07/06 08:00
7532,2024/07/06 08:00
7536,2024/07/06 08:00
7551,2024/07/06 08:00
7560,2024/07/06 08:00
7561,2024/07/06 08:00
7572,2024/07/06 08:00
7574,2024/07/06 08:00
7581,2024/07/06 08:00
7582,2024/07/06 08:00
7591,2024/07/06 08:00
7602,2024/07/06 08:00
7617,2024/07/06 08:00
7619,2024/07/06 08:00
7655,2024/07/06 08:00
7692,2024/07/06 08:00
7703,2024/07/06 08:00
7705,2024/07/06 08:00
7707,2024/07/06 08:00
7714,2024/07/06 08:00
7715,2024/07/06 08:00
7730,2024/07/06 08:00
7731,2024/07/06 08:00
7740,2024/07/06 08:00
7746,2024/07/06 08:00
7749,2024/07/06 08:00
7765,2024/07/06 08:00
7769,2024/07/06 08:00
7779,2024/07/06 08:00
7800,2024/07/06 08:00
7804,2024/07/06 08:00
7808,2024/07/06 08:00
7818,2024/07/06 08:00
7837,2024/07/06 08:00
7856,2024/07/06 08:00
7863,2024/07/06 08:00
7873,2024/07/06 08:00
7882,2024/07/06 08:00
7887,2024/07/06 08:00
7888,2024/07/06 08:00
7914,2024/07/06 08:00
7927,2024/07/06 08:00
7928,2024/07/06 08:00
7937,2024/07/06 08:00
7938,2024/07/06 08:00
7952,2024/07/06 08:00
7954,2024/07/06 08:00
7955,2024/07/06 08:00
7974,2024/07/06 08:00
7989,2024/07/06 08:00
8001,2024/07/06 08:00
8008,2024/07/06 08:00
8015,2024/07/06 08:00
8042,2024/07/06 08:00
8044,2024/07/06 08:00
8047,2024/07/06 08:00
8055,2024/07/06 08:00
8083,2024/07/06 08:00
8088,2024/07/06 08:00
8098,2024/07/06 08:00
8100,2024/07/06 08:00
8101,2024/07/06 08:00
8115,2024/07/06 08:00
8117,2024/07/06 08:00
8124,2024/07/06 08:00
8128,2024/07/06 08:00
8129,2024/07/06 08:00
8140,2024/07/06 08:00
8164,2024/07/06 08:00
8170,2024/07/06 08:00
8176,2024/07/06 08:00
8180,2024/07/06 08:00
8181,2024/07/06 08:00
8182,2024/07/06 08:00
8189,2024/07/06 08:00
8194,2024/07/06 08:00
8196,2024/07/06 08:00
8221,2024/07/06 08:00
8226,2024/07/06 08:00
8232,2024/07/06 08:00
8242,2024/07/06 08:00
8247,2024/07/06 08:00
8253,2024/07/06 08:00
8256,2024/07/06 08:00
8284,2024/07/06 08:00
8285,2024/07/06 08:00
8308,2024/07/06 08:00
8323,2024/07/06 08:00
8328,2024/07/06 08:00
8351,2024/07/06 08:00
8357,2024/07/06 08:00
8359,2024/07/06 08:00
8366,2024/07/06 08:00
8367,2024/07/06 08:00
8380,2024/07/06 08:00
8388,2024/07/06 08:00
8402,2024/07/06 08:00
8412,2024/07/06 08:00
8417,2024/07/06 08:00
8432,2024/07/06 08:00
8449,2024/07/06 08:00
8450,2024/07/06 08:00
8464,2024/07/06 08:00
8469,2024/07/06 08:00
