ficha,fechaYHoraInicio
7345,2024/07/06 08:00
7355,2024/07/06 08:00
7360,2024/07/06 08:00
7373,2024/07/06 08:00
7375,2024/07/06 08:00
7381,2024/07/06 08:00
7430,2024/07/06 08:00
7440,2024/07/06 08:00
7458,2024/07/06 08:00
7476,2024/07/06 08:00
7490,2024/07/06 08:00
7514,2024/07/06 08:00
7526,2024/07/06 08:00
7544,2024/07/06 08:00
7549,2024/07/06 08:00
7556,2024/07/06 08:00
7576,2024/07/06 08:00
7577,2024/07/06 08:00
7585,2024/07/06 08:00
7609,2024/07/06 08:00
7623,2024/07/06 08:00
7636,2024/07/06 08:00
7645,2024/07/06 08:00
7646,2024/07/06 08:00
7650,2024/07/06 08:00
7657,2024/07/06 08:00
7658,2024/07/06 08:00
7659,2024/07/06 08:00
7670,2024/07/06 08:00
7687,2024/07/06 08:00
7690,2024/07/06 08:00
7693,2024/07/06 08:00
7706,2024/07/06 08:00
7713,2024/07/06 08:00
7735,2024/07/06 08:00
7760,2024/07/06 08:00
7761,2024/07/06 08:00
7763,2024/07/06 08:00
7767,2024/07/06 08:00
7768,2024/07/06 08:00
7771,2024/07/06 08:00
7788,2024/07/06 08:00
7798,2024/07/06 08:00
7803,2024/07/06 08:00
7812,2024/07/06 08:00
7830,2024/07/06 08:00
7838,2024/07/06 08:00
7848,2024/07/06 08:00
7852,2024/07/06 08:00
7853,2024/07/06 08:00
7869,2024/07/06 08:00
7871,2024/07/06 08:00
7877,2024/07/06 08:00
7883,2024/07/06 08:00
7886,2024/07/06 08:00
7889,2024/07/06 08:00
7893,2024/07/06 08:00
7894,2024/07/06 08:00
7915,2024/07/06 08:00
7917,2024/07/06 08:00
7919,2024/07/06 08:00
7921,2024/07/06 08:00
7924,2024/07/06 08:00
7925,2024/07/06 08:00
7941,2024/07/06 08:00
7943,2024/07/06 08:00
7953,2024/07/06 08:00
7963,2024/07/06 08:00
7983,2024/07/06 08:00
7984,2024/07/06 08:00
7985,2024/07/06 08:00
7992,2024/07/06 08:00
7994,2024/07/06 08:00
7996,2024/07/06 08:00
7998,2024/07/06 08:00
8006,2024/07/06 08:00
8025,2024/07/06 08:00
8031,2024/07/06 08:00
8032,2024/07/06 08:00
8038,2024/07/06 08:00
8049,2024/07/06 08:00
8052,2024/07/06 08:00
8054,2024/07/06 08:00
8064,2024/07/06 08:00
8065,2024/07/06 08:00
8074,2024/07/06 08:00
8089,2024/07/06 08:00
8092,2024/07/06 08:00
8102,2024/07/06 08:00
8109,2024/07/06 08:00
8118,2024/07/06 08:00
8119,2024/07/06 08:00
8121,2024/07/06 08:00
8134,2024/07/06 08:00
8151,2024/07/06 08:00
8158,2024/07/06 08:00
8168,2024/07/06 08:00
8171,2024/07/06 08:00
8183,2024/07/06 08:00
8188,2024/07/06 08:00
8190,2024/07/06 08:00
8197,2024/07/06 08:00
8208,2024/07/06 08:00
8209,2024/07/06 08:00
8210,2024/07/06 08:00
8211,2024/07/06 08:00
8238,2024/07/06 08:00
8239,2024/07/06 08:00
8246,2024/07/06 08:00
8250,2024/07/06 08:00
8251,2024/07/06 08:00
8260,2024/07/06 08:00
8274,2024/07/06 08:00
8275,2024/07/06 08:00
8299,2024/07/06 08:00
8309,2024/07/06 08:00
8311,2024/07/06 08:00
8314,2024/07/06 08:00
8317,2024/07/06 08:00
8320,2024/07/06 08:00
8327,2024/07/06 08:00
8352,2024/07/06 08:00
8354,2024/07/06 08:00
8358,2024/07/06 08:00
8365,2024/07/06 08:00
8370,2024/07/06 08:00
8371,2024/07/06 08:00
8374,2024/07/06 08:00
8387,2024/07/06 08:00
8407,2024/07/06 08:00
8409,2024/07/06 08:00
8414,2024/07/06 08:00
8424,2024/07/06 08:00
8427,2024/07/06 08:00
8428,2024/07/06 08:00
8442,2024/07/06 08:00
8445,2024/07/06 08:00
8446,2024/07/06 08:00
8453,2024/07/06 08:00
8455,2024/07/06 08:00
8462,2024/07/06 08:00
