ficha,fechaYHoraInicio
102658,2024/07/08 09:00
102636,2024/07/08 09:00
102746,2024/07/08 09:00
101579,2024/07/08 09:00
101604,2024/07/08 09:00
103159,2024/07/08 09:00
103146,2024/07/08 09:00
103089,2024/07/08 09:00
102561,2024/07/08 09:00
102762,2024/07/08 09:00
103148,2024/07/08 09:00
102569,2024/07/08 09:00
103198,2024/07/08 09:00
102907,2024/07/08 09:00
103230,2024/07/08 09:00
103355,2024/07/08 09:00
102760,2024/07/08 09:00
102747,2024/07/08 09:00
102577,2024/07/08 09:00
103225,2024/07/08 09:00
103186,2024/07/08 09:00
103109,2024/07/08 09:00
103457,2024/07/08 09:00
103439,2024/07/08 09:00
103430,2024/07/08 09:00
103286,2024/07/08 09:00
102975,2024/07/08 09:00
102827,2024/07/08 09:00
103497,2024/07/08 09:00
101206,2024/07/08 09:00
103416,2024/07/08 09:00
103485,2024/07/08 09:00
102640,2024/07/08 09:00
103287,2024/07/08 09:00
103496,2024/07/08 09:00
103418,2024/07/08 09:00
103558,2024/07/08 09:00
103303,2024/07/08 09:00
103434,2024/07/08 09:00
103210,2024/07/08 09:00
103545,2024/07/08 09:00
102763,2024/07/08 09:00
103488,2024/07/08 09:00
103484,2024/07/08 09:00
103620,2024/07/08 09:00
102857,2024/07/08 09:00
102694,2024/07/08 09:00
103445,2024/07/08 09:00
102679,2024/07/08 09:00
102688,2024/07/08 09:00
102715,2024/07/08 09:00
103045,2024/07/08 09:00
102667,2024/07/08 09:00
102883,2024/07/08 09:00
102952,2024/07/08 09:00
102544,2024/07/08 09:00
102663,2024/07/08 09:00
102743,2024/07/08 09:00
103028,2024/07/08 09:00
102853,2024/07/08 09:00
102937,2024/07/08 09:00
102521,2024/07/08 09:00
102286,2024/07/08 09:00
103077,2024/07/08 09:00
103115,2024/07/08 09:00
103106,2024/07/08 09:00
103349,2024/07/08 09:00
101262,2024/07/08 09:00
103110,2024/07/08 09:00
102697,2024/07/08 09:00
103313,2024/07/08 09:00
102927,2024/07/08 09:00
103470,2024/07/08 09:00
103474,2024/07/08 09:00
103481,2024/07/08 09:00
103427,2024/07/08 09:00
102782,2024/07/08 09:00
103489,2024/07/08 09:00
103265,2024/07/08 09:00
103521,2024/07/08 09:00
103417,2024/07/08 09:00
103127,2024/07/08 09:00
103252,2024/07/08 09:00
103156,2024/07/08 09:00
103327,2024/07/08 09:00
103092,2024/07/08 09:00
103541,2024/07/08 09:00
103267,2024/07/08 09:00
103406,2024/07/08 09:00
103461,2024/07/08 09:00
103536,2024/07/08 09:00
102980,2024/07/08 09:00
103294,2024/07/08 09:00
103498,2024/07/08 09:00
103232,2024/07/08 09:00
103113,2024/07/08 09:00
103534,2024/07/08 09:00
100557,2024/07/08 09:00
103524,2024/07/08 09:00
103350,2024/07/08 09:00
103590,2024/07/08 09:00
103218,2024/07/08 09:00
103438,2024/07/08 09:00
102716,2024/07/08 09:00
102672,2024/07/08 09:00
102971,2024/07/08 09:00
102899,2024/07/08 09:00
103108,2024/07/08 09:00
102886,2024/07/08 09:00
103102,2024/07/08 09:00
102554,2024/07/08 09:00
102584,2024/07/08 09:00
103238,2024/07/08 09:00
102931,2024/07/08 09:00
102707,2024/07/08 09:00
103415,2024/07/08 09:00
103270,2024/07/08 09:00
103347,2024/07/08 09:00
103264,2024/07/08 09:00
102828,2024/07/08 09:00
103341,2024/07/08 09:00
103472,2024/07/08 09:00
102865,2024/07/08 09:00
103033,2024/07/08 09:00
103392,2024/07/08 09:00
103051,2024/07/08 09:00
103065,2024/07/08 09:00
103340,2024/07/08 09:00
100088,2024/07/08 09:00
103531,2024/07/08 09:00
103068,2024/07/08 09:00
103556,2024/07/08 09:00
100650,2024/07/08 09:00
103533,2024/07/08 09:00
103116,2024/07/08 09:00
102917,2024/07/08 09:00
103582,2024/07/08 09:00
103448,2024/07/08 09:00
103400,2024/07/08 09:00
103155,2024/07/08 09:00
103388,2024/07/08 09:00
103288,2024/07/08 09:00
103564,2024/07/08 09:00
103593,2024/07/08 09:00
102979,2024/07/08 09:00
103030,2024/07/08 09:00
101825,2024/07/08 09:00
103630,2024/07/08 09:00
100623,2024/07/08 09:00
103114,2024/07/08 09:00
103530,2024/07/08 09:00
