ficha,fechaYHoraInicio
080001,2024/07/08 09:00
080002,2024/07/08 09:00
080003,2024/07/08 09:00
080005,2024/07/08 09:00
080006,2024/07/08 09:00
080008,2024/07/08 09:00
080009,2024/07/08 09:00
080011,2024/07/08 09:00
080012,2024/07/08 09:00
080013,2024/07/08 09:00
080014,2024/07/08 09:00
080015,2024/07/08 09:00
080016,2024/07/08 09:00
080017,2024/07/08 09:00
080018,2024/07/08 09:00
080019,2024/07/08 09:00
080020,2024/07/08 09:00
080021,2024/07/08 09:00
080022,2024/07/08 09:00
080023,2024/07/08 09:00
050001,2024/07/08 09:00
050002,2024/07/08 09:00
050003,2024/07/08 09:00
050004,2024/07/08 09:00
050005,2024/07/08 09:00
050006,2024/07/08 09:00
050007,2024/07/08 09:00
050008,2024/07/08 09:00
050009,2024/07/08 09:00
050010,2024/07/08 09:00
050011,2024/07/08 09:00
050012,2024/07/08 09:00
050013,2024/07/08 09:00
050014,2024/07/08 09:00
050015,2024/07/08 09:00
050016,2024/07/08 09:00
050017,2024/07/08 09:00
050018,2024/07/08 09:00
050019,2024/07/08 09:00
050020,2024/07/08 09:00
050021,2024/07/08 09:00
050022,2024/07/08 09:00
050023,2024/07/08 09:00
050024,2024/07/08 09:00
050025,2024/07/08 09:00
