ficha,fechaYHoraInicio
7349,2024/07/09 08:00
7358,2024/07/09 08:00
7377,2024/07/09 08:00
7402,2024/07/09 08:00
7414,2024/07/09 08:00
7422,2024/07/09 08:00
7426,2024/07/09 08:00
7451,2024/07/09 08:00
7460,2024/07/09 08:00
7461,2024/07/09 08:00
7464,2024/07/09 08:00
7478,2024/07/09 08:00
7480,2024/07/09 08:00
7481,2024/07/09 08:00
7484,2024/07/09 08:00
7490,2024/07/09 08:00
7492,2024/07/09 08:00
7520,2024/07/09 08:00
7521,2024/07/09 08:00
7522,2024/07/09 08:00
7524,2024/07/09 08:00
7532,2024/07/09 08:00
7534,2024/07/09 08:00
7539,2024/07/09 08:00
7540,2024/07/09 08:00
7576,2024/07/09 08:00
7583,2024/07/09 08:00
7586,2024/07/09 08:00
7590,2024/07/09 08:00
7592,2024/07/09 08:00
7593,2024/07/09 08:00
7634,2024/07/09 08:00
7642,2024/07/09 08:00
7646,2024/07/09 08:00
7654,2024/07/09 08:00
7660,2024/07/09 08:00
7669,2024/07/09 08:00
7675,2024/07/09 08:00
7685,2024/07/09 08:00
7688,2024/07/09 08:00
7694,2024/07/09 08:00
7695,2024/07/09 08:00
7715,2024/07/09 08:00
7754,2024/07/09 08:00
7756,2024/07/09 08:00
7757,2024/07/09 08:00
7759,2024/07/09 08:00
7764,2024/07/09 08:00
7769,2024/07/09 08:00
7774,2024/07/09 08:00
7784,2024/07/09 08:00
7785,2024/07/09 08:00
7788,2024/07/09 08:00
7792,2024/07/09 08:00
7797,2024/07/09 08:00
7798,2024/07/09 08:00
7805,2024/07/09 08:00
7827,2024/07/09 08:00
7832,2024/07/09 08:00
7836,2024/07/09 08:00
7868,2024/07/09 08:00
7875,2024/07/09 08:00
7895,2024/07/09 08:00
7920,2024/07/09 08:00
7921,2024/07/09 08:00
7970,2024/07/09 08:00
7976,2024/07/09 08:00
7982,2024/07/09 08:00
8001,2024/07/09 08:00
8002,2024/07/09 08:00
8027,2024/07/09 08:00
8029,2024/07/09 08:00
8083,2024/07/09 08:00
8085,2024/07/09 08:00
8090,2024/07/09 08:00
8105,2024/07/09 08:00
8110,2024/07/09 08:00
8115,2024/07/09 08:00
8116,2024/07/09 08:00
8117,2024/07/09 08:00
8119,2024/07/09 08:00
8121,2024/07/09 08:00
8123,2024/07/09 08:00
8127,2024/07/09 08:00
8129,2024/07/09 08:00
8130,2024/07/09 08:00
8134,2024/07/09 08:00
8135,2024/07/09 08:00
8141,2024/07/09 08:00
8146,2024/07/09 08:00
8147,2024/07/09 08:00
8148,2024/07/09 08:00
8158,2024/07/09 08:00
8167,2024/07/09 08:00
8176,2024/07/09 08:00
8186,2024/07/09 08:00
8191,2024/07/09 08:00
8205,2024/07/09 08:00
8216,2024/07/09 08:00
8228,2024/07/09 08:00
8232,2024/07/09 08:00
8233,2024/07/09 08:00
8234,2024/07/09 08:00
8257,2024/07/09 08:00
8260,2024/07/09 08:00
8268,2024/07/09 08:00
8279,2024/07/09 08:00
8289,2024/07/09 08:00
8293,2024/07/09 08:00
8296,2024/07/09 08:00
8305,2024/07/09 08:00
8307,2024/07/09 08:00
8309,2024/07/09 08:00
8315,2024/07/09 08:00
8344,2024/07/09 08:00
8362,2024/07/09 08:00
8364,2024/07/09 08:00
8373,2024/07/09 08:00
8383,2024/07/09 08:00
8388,2024/07/09 08:00
8391,2024/07/09 08:00
8393,2024/07/09 08:00
8398,2024/07/09 08:00
8408,2024/07/09 08:00
8409,2024/07/09 08:00
8410,2024/07/09 08:00
8411,2024/07/09 08:00
8417,2024/07/09 08:00
8423,2024/07/09 08:00
8427,2024/07/09 08:00
8429,2024/07/09 08:00
8432,2024/07/09 08:00
8438,2024/07/09 08:00
8441,2024/07/09 08:00
8445,2024/07/09 08:00
8446,2024/07/09 08:00
8454,2024/07/09 08:00
8460,2024/07/09 08:00
8463,2024/07/09 08:00
