ficha,fechaYHoraInicio
165,2024/07/10 09:00
167,2024/07/10 09:00
197,2024/07/10 09:00
224,2024/07/10 09:00
56,2024/07/10 09:00
63,2024/07/10 09:00
64,2024/07/10 09:00
68,2024/07/10 09:00
102,2024/07/10 09:00
108,2024/07/10 09:00
116,2024/07/10 09:00
148,2024/07/10 09:00
155,2024/07/10 09:00
157,2024/07/10 09:00
160,2024/07/10 09:00
169,2024/07/10 09:00
173,2024/07/10 09:00
174,2024/07/10 09:00
175,2024/07/10 09:00
183,2024/07/10 09:00
184,2024/07/10 09:00
189,2024/07/10 09:00
196,2024/07/10 09:00
204,2024/07/10 09:00
207,2024/07/10 09:00
209,2024/07/10 09:00
214,2024/07/10 09:00
216,2024/07/10 09:00
228,2024/07/10 09:00
231,2024/07/10 09:00
232,2024/07/10 09:00
243,2024/07/10 09:00
120,2024/07/10 09:00
135,2024/07/10 09:00
137,2024/07/10 09:00
145,2024/07/10 09:00
161,2024/07/10 09:00
164,2024/07/10 09:00
166,2024/07/10 09:00
191,2024/07/10 09:00
195,2024/07/10 09:00
198,2024/07/10 09:00
199,2024/07/10 09:00
221,2024/07/10 09:00
226,2024/07/10 09:00
234,2024/07/10 09:00
246,2024/07/10 09:00
61,2024/07/10 09:00
71,2024/07/10 09:00
139,2024/07/10 09:00
142,2024/07/10 09:00
146,2024/07/10 09:00
149,2024/07/10 09:00
163,2024/07/10 09:00
208,2024/07/10 09:00
210,2024/07/10 09:00
211,2024/07/10 09:00
22,2024/07/10 09:00
162,2024/07/10 09:00
168,2024/07/10 09:00
170,2024/07/10 09:00
176,2024/07/10 09:00
177,2024/07/10 09:00
187,2024/07/10 09:00
188,2024/07/10 09:00
192,2024/07/10 09:00
206,2024/07/10 09:00
212,2024/07/10 09:00
213,2024/07/10 09:00
222,2024/07/10 09:00
223,2024/07/10 09:00
72,2024/07/10 09:00
136,2024/07/10 09:00
153,2024/07/10 09:00
158,2024/07/10 09:00
171,2024/07/10 09:00
172,2024/07/10 09:00
181,2024/07/10 09:00
182,2024/07/10 09:00
185,2024/07/10 09:00
200,2024/07/10 09:00
201,2024/07/10 09:00
203,2024/07/10 09:00
205,2024/07/10 09:00
218,2024/07/10 09:00
225,2024/07/10 09:00
233,2024/07/10 09:00
236,2024/07/10 09:00
245,2024/07/10 09:00
