ficha,fechaYHoraInicio
F03302024,2024/07/10 09:00
F05582024,2024/07/10 09:00
F11912024,2024/07/10 09:00
F00852024,2024/07/10 09:00
F03502024,2024/07/10 09:00
F05962024,2024/07/10 09:00
F01212024,2024/07/10 09:00
F11992024,2024/07/10 09:00
F01202024,2024/07/10 09:00
F03702024,2024/07/10 09:00
F11872024,2024/07/10 09:00
F04462024,2024/07/10 09:00
F02352024,2024/07/10 09:00
F06182024,2024/07/10 09:00
F02072024,2024/07/10 09:00
F12082024,2024/07/10 09:00
F00762024,2024/07/10 09:00
F00932024,2024/07/10 09:00
F01022024,2024/07/10 09:00
F11512024,2024/07/10 09:00
F02592024,2024/07/10 09:00
F04242024,2024/07/10 09:00
F05532024,2024/07/10 09:00
F09962024,2024/07/10 09:00
F02932024,2024/07/10 09:00
F05032024,2024/07/10 09:00
F03972024,2024/07/10 09:00
F01272024,2024/07/10 09:00
F10842024,2024/07/10 09:00
F01392024,2024/07/10 09:00
F03962024,2024/07/10 09:00
F05352024,2024/07/10 09:00
F02602024,2024/07/10 09:00
F10022024,2024/07/10 09:00
F11632024,2024/07/10 09:00
F04252024,2024/07/10 09:00
F04622024,2024/07/10 09:00
F05672024,2024/07/10 09:00
F03112024,2024/07/10 09:00
F04132024,2024/07/10 09:00
F10972024,2024/07/10 09:00
F00812024,2024/07/10 09:00
F01732024,2024/07/10 09:00
F03082024,2024/07/10 09:00
F02802024,2024/07/10 09:00
F04752024,2024/07/10 09:00
F00582024,2024/07/10 09:00
F02172024,2024/07/10 09:00
F05262024,2024/07/10 09:00
F00782024,2024/07/10 09:00
F03212024,2024/07/10 09:00
F01412024,2024/07/10 09:00
F03872024,2024/07/10 09:00
F03552024,2024/07/10 09:00
F05852024,2024/07/10 09:00
F00502024,2024/07/10 09:00
F05592024,2024/07/10 09:00
F01572024,2024/07/10 09:00
F11972024,2024/07/10 09:00
F04612024,2024/07/10 09:00
F02442024,2024/07/10 09:00
F00602024,2024/07/10 09:00
F04022024,2024/07/10 09:00
F05372024,2024/07/10 09:00
F11772024,2024/07/10 09:00
F05652024,2024/07/10 09:00
F04882024,2024/07/10 09:00
F01982024,2024/07/10 09:00
F05452024,2024/07/10 09:00
F11162024,2024/07/10 09:00
F09912024,2024/07/10 09:00
F02992024,2024/07/10 09:00
F00692024,2024/07/10 09:00
F11962024,2024/07/10 09:00
F05242024,2024/07/10 09:00
F04372024,2024/07/10 09:00
F02052024,2024/07/10 09:00
F03012024,2024/07/10 09:00
F00402024,2024/07/10 09:00
F11362024,2024/07/10 09:00
F02112024,2024/07/10 09:00
F05802024,2024/07/10 09:00
F02902024,2024/07/10 09:00
F01552024,2024/07/10 09:00
F01512024,2024/07/10 09:00
F00992024,2024/07/10 09:00
F05022024,2024/07/10 09:00
F01242024,2024/07/10 09:00
F00822024,2024/07/10 09:00
F05332024,2024/07/10 09:00
F11472024,2024/07/10 09:00
F01422024,2024/07/10 09:00
F03122024,2024/07/10 09:00
F05782024,2024/07/10 09:00
F02282024,2024/07/10 09:00
F04092024,2024/07/10 09:00
F12162024,2024/07/10 09:00
F04862024,2024/07/10 09:00
F01692024,2024/07/10 09:00
F01932024,2024/07/10 09:00
F11782024,2024/07/10 09:00
F05632024,2024/07/10 09:00
F04232024,2024/07/10 09:00
F03002024,2024/07/10 09:00
F10872024,2024/07/10 09:00
F01962024,2024/07/10 09:00
F00512024,2024/07/10 09:00
F00942024,2024/07/10 09:00
F11712024,2024/07/10 09:00
F12182024,2024/07/10 09:00
F00572024,2024/07/10 09:00
F02562024,2024/07/10 09:00
F05522024,2024/07/10 09:00
F04902024,2024/07/10 09:00
F04952024,2024/07/10 09:00
F05152024,2024/07/10 09:00
F04582024,2024/07/10 09:00
F04912024,2024/07/10 09:00
F03472024,2024/07/10 09:00
F05492024,2024/07/10 09:00
F04072024,2024/07/10 09:00
F05362024,2024/07/10 09:00
F12022024,2024/07/10 09:00
F02292024,2024/07/10 09:00
F12222024,2024/07/10 09:00
F10312024,2024/07/10 09:00
F04802024,2024/07/10 09:00
F02682024,2024/07/10 09:00
F12192024,2024/07/10 09:00
F04592024,2024/07/10 09:00
F05642024,2024/07/10 09:00
F03532024,2024/07/10 09:00
F05222024,2024/07/10 09:00
F04292024,2024/07/10 09:00
F03802024,2024/07/10 09:00
F08772024,2024/07/10 09:00
F03192024,2024/07/10 09:00
F01792024,2024/07/10 09:00
F01142024,2024/07/10 09:00
F00622024,2024/07/10 09:00
F01182024,2024/07/10 09:00
F03052024,2024/07/10 09:00
F01312024,2024/07/10 09:00
F07272024,2024/07/10 09:00
F01812024,2024/07/10 09:00
F11662024,2024/07/10 09:00
F07122024,2024/07/10 09:00
F12112024,2024/07/10 09:00
F03762024,2024/07/10 09:00
F06092024,2024/07/10 09:00
F04972024,2024/07/10 09:00
F03402024,2024/07/10 09:00
F04492024,2024/07/10 09:00
F04412024,2024/07/10 09:00
F00492024,2024/07/10 09:00
F03282024,2024/07/10 09:00
F02812024,2024/07/10 09:00
F04512024,2024/07/10 09:00
F05562024,2024/07/10 09:00
F09352024,2024/07/10 09:00
F00662024,2024/07/10 09:00
F05132024,2024/07/10 09:00
F06132024,2024/07/10 09:00
F03022024,2024/07/10 09:00
F05462024,2024/07/10 09:00
F02732024,2024/07/10 09:00
F05192024,2024/07/10 09:00
F00652024,2024/07/10 09:00
F01162024,2024/07/10 09:00
F11732024,2024/07/10 09:00
F02832024,2024/07/10 09:00
