ficha,fechaYHoraInicio
24ISC406 ,2024/07/12 08:00
24ISC353 ,2024/07/12 08:00
24ISC320 ,2024/07/12 08:00
24ISC319 ,2024/07/12 08:00
24ISC309 ,2024/07/12 08:00
24ISC273 ,2024/07/12 08:00
24ISC274 ,2024/07/12 08:00
24ISC263 ,2024/07/12 08:00
24ISC308 ,2024/07/12 08:00
24ISC307 ,2024/07/12 08:00
24ISC203 ,2024/07/12 08:00
24ISC202 ,2024/07/12 08:00
24ISC166 ,2024/07/12 08:00
24ISC133 ,2024/07/12 08:00
24ISC132 ,2024/07/12 08:00
24ISC247 ,2024/07/12 08:00
24ISC177 ,2024/07/12 08:00
24ISC092 ,2024/07/12 08:00
24ISC091 ,2024/07/12 08:00
24ISC131 ,2024/07/12 08:00
24ISC130 ,2024/07/12 08:00
24ISC090 ,2024/07/12 08:00
24ISC129 ,2024/07/12 08:00
24ISC093 ,2024/07/12 08:00
24ISC089 ,2024/07/12 08:00
24ISC088 ,2024/07/12 08:00
24ISC128 ,2024/07/12 08:00
24ISC087 ,2024/07/12 08:00
24ISC086 ,2024/07/12 08:00
24ISC146 ,2024/07/12 08:00
24ISC127 ,2024/07/12 08:00
24ISC085 ,2024/07/12 08:00
24ISC084 ,2024/07/12 08:00
