ficha,fechaYHoraInicio
0193,2024/07/13 08:00
0259,2024/07/13 08:00
0527,2024/07/13 08:00
0529,2024/07/13 08:00
0540,2024/07/13 08:00
0541,2024/07/13 08:00
0558,2024/07/13 08:00
0561,2024/07/13 08:00
0569,2024/07/13 08:00
0575,2024/07/13 08:00
0580,2024/07/13 08:00
0591,2024/07/13 08:00
0593,2024/07/13 08:00
0599,2024/07/13 08:00
0606,2024/07/13 08:00
0610,2024/07/13 08:00
0615,2024/07/13 08:00
0617,2024/07/13 08:00
0627,2024/07/13 08:00
0628,2024/07/13 08:00
0631,2024/07/13 08:00
0637,2024/07/13 08:00
0638,2024/07/13 08:00
