ficha,fechaYHoraInicio
0479,2024/07/13 08:00
0514,2024/07/13 08:00
0531,2024/07/13 08:00
0532,2024/07/13 08:00
0539,2024/07/13 08:00
0546,2024/07/13 08:00
0548,2024/07/13 08:00
0557,2024/07/13 08:00
0563,2024/07/13 08:00
0565,2024/07/13 08:00
0571,2024/07/13 08:00
0582,2024/07/13 08:00
0587,2024/07/13 08:00
0588,2024/07/13 08:00
0589,2024/07/13 08:00
0590,2024/07/13 08:00
0595,2024/07/13 08:00
0597,2024/07/13 08:00
0598,2024/07/13 08:00
0612,2024/07/13 08:00
0614,2024/07/13 08:00
0616,2024/07/13 08:00
0624,2024/07/13 08:00
0625,2024/07/13 08:00
0630,2024/07/13 08:00
0635,2024/07/13 08:00
0641,2024/07/13 08:00
