ficha,fechaYHoraInicio
1914,2024/07/15 08:00
1910,2024/07/15 08:00
1908,2024/07/15 08:00
1907,2024/07/15 08:00
1886,2024/07/15 08:00
1882,2024/07/15 08:00
1881,2024/07/15 08:00
1878,2024/07/15 08:00
1856,2024/07/15 08:00
1930,2024/07/15 12:00
1923,2024/07/15 12:00
1922,2024/07/15 12:00
1918,2024/07/15 12:00
1912,2024/07/15 12:00
1900,2024/07/15 12:00
1896,2024/07/15 12:00
1895,2024/07/15 12:00
1892,2024/07/15 12:00
1885,2024/07/15 12:00
1884,2024/07/15 12:00
1883,2024/07/15 12:00
1874,2024/07/15 12:00
1868,2024/07/15 12:00
1862,2024/07/15 12:00
1854,2024/07/15 12:00
1745,2024/07/15 12:00
1571,2024/07/15 12:00
1933,2024/07/15 12:00
1932,2024/07/15 12:00
1929,2024/07/15 12:00
1928,2024/07/15 12:00
1927,2024/07/15 12:00
1925,2024/07/15 12:00
1917,2024/07/15 12:00
1915,2024/07/15 12:00
1897,2024/07/15 12:00
1894,2024/07/15 12:00
1887,2024/07/15 12:00
1870,2024/07/15 12:00
1869,2024/07/15 12:00
1867,2024/07/15 12:00
1863,2024/07/15 12:00
1858,2024/07/15 12:00
1855,2024/07/15 12:00
1849,2024/07/15 12:00
1659,2024/07/15 12:00
