ficha,fechaYHoraInicio
0217,2024/07/19 09:00
0231,2024/07/19 09:00
0246,2024/07/19 09:00
0248,2024/07/19 09:00
0257,2024/07/19 09:00
0287,2024/07/19 09:00
0292,2024/07/19 09:00
0311,2024/07/19 09:00
0313,2024/07/19 09:00
0318,2024/07/19 09:00
0319,2024/07/19 09:00
0320,2024/07/19 09:00
0322,2024/07/19 09:00
0323,2024/07/19 09:00
0203,2024/07/19 09:00
0205,2024/07/19 09:00
0218,2024/07/19 09:00
0219,2024/07/19 09:00
0222,2024/07/19 09:00
0228,2024/07/19 09:00
0235,2024/07/19 09:00
0237,2024/07/19 09:00
0238,2024/07/19 09:00
0239,2024/07/19 09:00
0241,2024/07/19 09:00
0247,2024/07/19 09:00
0251,2024/07/19 09:00
0252,2024/07/19 09:00
0260,2024/07/19 09:00
0266,2024/07/19 09:00
0267,2024/07/19 09:00
0268,2024/07/19 09:00
0276,2024/07/19 09:00
0282,2024/07/19 09:00
0285,2024/07/19 09:00
0286,2024/07/19 09:00
0293,2024/07/19 09:00
0300,2024/07/19 09:00
0303,2024/07/19 09:00
0304,2024/07/19 09:00
0324,2024/07/19 09:00
0332,2024/07/19 09:00
0339,2024/07/19 09:00
0340,2024/07/19 09:00
