ficha,fechaYHoraInicio
0207,2024/07/19 09:00
0210,2024/07/19 09:00
0213,2024/07/19 09:00
0214,2024/07/19 09:00
0215,2024/07/19 09:00
0216,2024/07/19 09:00
0221,2024/07/19 09:00
0223,2024/07/19 09:00
0224,2024/07/19 09:00
0225,2024/07/19 09:00
0227,2024/07/19 09:00
0229,2024/07/19 09:00
0242,2024/07/19 09:00
0249,2024/07/19 09:00
0259,2024/07/19 09:00
0261,2024/07/19 09:00
0264,2024/07/19 09:00
0265,2024/07/19 09:00
0269,2024/07/19 09:00
0270,2024/07/19 09:00
0275,2024/07/19 09:00
0277,2024/07/19 09:00
0279,2024/07/19 09:00
0288,2024/07/19 09:00
0290,2024/07/19 09:00
0294,2024/07/19 09:00
0296,2024/07/19 09:00
0297,2024/07/19 09:00
0299,2024/07/19 09:00
0302,2024/07/19 09:00
0305,2024/07/19 09:00
0307,2024/07/19 09:00
0309,2024/07/19 09:00
0312,2024/07/19 09:00
0314,2024/07/19 09:00
0316,2024/07/19 09:00
0325,2024/07/19 09:00
0333,2024/07/19 09:00
0334,2024/07/19 09:00
0335,2024/07/19 09:00
0343,2024/07/19 09:00
0344,2024/07/19 09:00
0346,2024/07/19 09:00
