ficha,fechaYHoraInicio
ITST24022,2024/07/19 09:00
ITST24023,2024/07/19 09:00
ITST24024,2024/07/19 09:00
ITST24026,2024/07/19 09:00
ITST24027,2024/07/19 09:00
ITST24031,2024/07/19 09:00
ITST24032,2024/07/19 09:00
ITST24035,2024/07/19 09:00
ITST24037,2024/07/19 09:00
ITST24039,2024/07/19 09:00
ITST24040,2024/07/19 09:00
ITST24041,2024/07/19 09:00
ITST24043,2024/07/19 09:00
ITST24046,2024/07/19 09:00
ITST24047,2024/07/19 09:00
ITST24048,2024/07/19 09:00
ITST24050,2024/07/19 09:00
ITST24051,2024/07/19 09:00
ITST24054,2024/07/19 09:00
ITST24055,2024/07/19 09:00
ITST24057,2024/07/19 09:00
ITST24058,2024/07/19 09:00
ITST24059,2024/07/19 09:00
ITST24060,2024/07/19 09:00
ITST24061,2024/07/19 09:00
ITST24066,2024/07/19 09:00
ITST24070,2024/07/19 09:00
ITST24071,2024/07/19 09:00
ITST0002,2024/07/19 09:00
