ficha,fechaYHoraInicio
0807,2024/07/23 09:00
0810,2024/07/23 09:00
0816,2024/07/23 09:00
0823,2024/07/23 09:00
0824,2024/07/23 09:00
0828,2024/07/23 09:00
0831,2024/07/23 09:00
0832,2024/07/23 09:00
0843,2024/07/23 09:00
0845,2024/07/23 09:00
0849,2024/07/23 09:00
0856,2024/07/23 09:00
0858,2024/07/23 09:00
0868,2024/07/23 09:00
0874,2024/07/23 09:00
0879,2024/07/23 09:00
0890,2024/07/23 09:00
0896,2024/07/23 09:00
0899,2024/07/23 09:00
0906,2024/07/23 09:00
0908,2024/07/23 09:00
0909,2024/07/23 09:00
0910,2024/07/23 09:00
0913,2024/07/23 09:00
0916,2024/07/23 09:00
0922,2024/07/23 09:00
0931,2024/07/23 09:00
0940,2024/07/23 09:00
0944,2024/07/23 09:00
0950,2024/07/23 09:00
0956,2024/07/23 09:00
0965,2024/07/23 09:00
0981,2024/07/23 09:00
0992,2024/07/23 09:00
0993,2024/07/23 09:00
0995,2024/07/23 09:00
1004,2024/07/23 09:00
1006,2024/07/23 09:00
1012,2024/07/23 09:00
1013,2024/07/23 09:00
1017,2024/07/23 09:00
0808,2024/07/23 09:00
0830,2024/07/23 09:00
0838,2024/07/23 09:00
0847,2024/07/23 09:00
0869,2024/07/23 09:00
0870,2024/07/23 09:00
0928,2024/07/23 09:00
0975,2024/07/23 09:00
0983,2024/07/23 09:00
0987,2024/07/23 09:00
0988,2024/07/23 09:00
0989,2024/07/23 09:00
1000,2024/07/23 09:00
1014,2024/07/23 09:00
0812,2024/07/23 09:00
0814,2024/07/23 09:00
0833,2024/07/23 09:00
0840,2024/07/23 09:00
0854,2024/07/23 09:00
0857,2024/07/23 09:00
0905,2024/07/23 09:00
0920,2024/07/23 09:00
0949,2024/07/23 09:00
0953,2024/07/23 09:00
0970,2024/07/23 09:00
0804,2024/07/23 09:00
0805,2024/07/23 09:00
0813,2024/07/23 09:00
0817,2024/07/23 09:00
0820,2024/07/23 09:00
0834,2024/07/23 09:00
0841,2024/07/23 09:00
0852,2024/07/23 09:00
0853,2024/07/23 09:00
0873,2024/07/23 09:00
0878,2024/07/23 09:00
0882,2024/07/23 09:00
0885,2024/07/23 09:00
0888,2024/07/23 09:00
0904,2024/07/23 09:00
0911,2024/07/23 09:00
0919,2024/07/23 09:00
0933,2024/07/23 09:00
0934,2024/07/23 09:00
0935,2024/07/23 09:00
0945,2024/07/23 09:00
0957,2024/07/23 09:00
0960,2024/07/23 09:00
0985,2024/07/23 09:00
1011,2024/07/23 09:00
0827,2024/07/23 09:00
0871,2024/07/23 09:00
0897,2024/07/23 09:00
0927,2024/07/23 09:00
0929,2024/07/23 09:00
0937,2024/07/23 09:00
0966,2024/07/23 09:00
0972,2024/07/23 09:00
0974,2024/07/23 09:00
1018,2024/07/23 09:00
0839,2024/07/23 09:00
0877,2024/07/23 09:00
0892,2024/07/23 09:00
0903,2024/07/23 09:00
0914,2024/07/23 09:00
0918,2024/07/23 09:00
0925,2024/07/23 09:00
0943,2024/07/23 09:00
0951,2024/07/23 09:00
0968,2024/07/23 09:00
0996,2024/07/23 09:00
0999,2024/07/23 09:00
1015,2024/07/23 09:00
0801,2024/07/23 09:00
0802,2024/07/23 09:00
0803,2024/07/23 09:00
0809,2024/07/23 09:00
0811,2024/07/23 09:00
0815,2024/07/23 09:00
0818,2024/07/23 09:00
0819,2024/07/23 09:00
0822,2024/07/23 09:00
0825,2024/07/23 09:00
0844,2024/07/23 09:00
0855,2024/07/23 09:00
0859,2024/07/23 09:00
0866,2024/07/23 09:00
0867,2024/07/23 09:00
0875,2024/07/23 09:00
0887,2024/07/23 09:00
0900,2024/07/23 09:00
0901,2024/07/23 09:00
0923,2024/07/23 09:00
0924,2024/07/23 09:00
0926,2024/07/23 09:00
0939,2024/07/23 09:00
0941,2024/07/23 09:00
0959,2024/07/23 09:00
0979,2024/07/23 09:00
0980,2024/07/23 09:00
0997,2024/07/23 09:00
1008,2024/07/23 09:00
1010,2024/07/23 09:00
1016,2024/07/23 09:00
1019,2024/07/23 09:00
0167,2024/07/23 09:00
0797,2024/07/23 09:00
0798,2024/07/23 09:00
0800,2024/07/23 09:00
0821,2024/07/23 09:00
0895,2024/07/23 09:00
0902,2024/07/23 09:00
0907,2024/07/23 09:00
0932,2024/07/23 09:00
0947,2024/07/23 09:00
0948,2024/07/23 09:00
0994,2024/07/23 09:00
0998,2024/07/23 09:00
1002,2024/07/23 09:00
