ficha,fechaYHoraInicio
1468,2024/07/24 17:00
1471,2024/07/24 17:00
1475,2024/07/24 17:00
1476,2024/07/24 17:00
1479,2024/07/24 17:00
1484,2024/07/24 17:00
1488,2024/07/24 17:00
1489,2024/07/24 17:00
1490,2024/07/24 17:00
1491,2024/07/24 17:00
1496,2024/07/24 17:00
1498,2024/07/24 17:00
1499,2024/07/24 17:00
1500,2024/07/24 17:00
1511,2024/07/24 17:00
1516,2024/07/24 17:00
1527,2024/07/24 17:00
1537,2024/07/24 17:00
1540,2024/07/24 17:00
1552,2024/07/24 17:00
1557,2024/07/24 17:00
1559,2024/07/24 17:00
1563,2024/07/24 17:00
1564,2024/07/24 17:00
1565,2024/07/24 17:00
1585,2024/07/24 17:00
1598,2024/07/24 17:00
1615,2024/07/24 17:00
1618,2024/07/24 17:00
1624,2024/07/24 17:00
1629,2024/07/24 17:00
1638,2024/07/24 17:00
1643,2024/07/24 17:00
1644,2024/07/24 17:00
1648,2024/07/24 17:00
1650,2024/07/24 17:00
1655,2024/07/24 17:00
1662,2024/07/24 17:00
1667,2024/07/24 17:00
3,2024/07/24 17:00
12,2024/07/24 17:00
15,2024/07/24 17:00
17,2024/07/24 17:00
18,2024/07/24 17:00
25,2024/07/24 17:00
29,2024/07/24 17:00
34,2024/07/24 17:00
44,2024/07/24 17:00
48,2024/07/24 17:00
57,2024/07/24 17:00
63,2024/07/24 17:00
70,2024/07/24 17:00
76,2024/07/24 17:00
81,2024/07/24 17:00
89,2024/07/24 17:00
101,2024/07/24 17:00
111,2024/07/24 17:00
118,2024/07/24 17:00
123,2024/07/24 17:00
128,2024/07/24 17:00
133,2024/07/24 17:00
136,2024/07/24 17:00
153,2024/07/24 17:00
163,2024/07/24 17:00
165,2024/07/24 17:00
180,2024/07/24 17:00
183,2024/07/24 17:00
195,2024/07/24 17:00
201,2024/07/24 17:00
203,2024/07/24 17:00
205,2024/07/24 17:00
212,2024/07/24 17:00
221,2024/07/24 17:00
224,2024/07/24 17:00
228,2024/07/24 17:00
232,2024/07/24 17:00
234,2024/07/24 17:00
244,2024/07/24 17:00
253,2024/07/24 17:00
11,2024/07/24 17:00
96,2024/07/24 17:00
160,2024/07/24 17:00
254,2024/07/24 17:00
261,2024/07/24 17:00
267,2024/07/24 17:00
394,2024/07/24 17:00
404,2024/07/24 17:00
408,2024/07/24 17:00
453,2024/07/24 17:00
490,2024/07/24 17:00
523,2024/07/24 17:00
554,2024/07/24 17:00
580,2024/07/24 17:00
587,2024/07/24 17:00
622,2024/07/24 17:00
664,2024/07/24 17:00
710,2024/07/24 17:00
717,2024/07/24 17:00
727,2024/07/24 17:00
748,2024/07/24 17:00
766,2024/07/24 17:00
812,2024/07/24 17:00
816,2024/07/24 17:00
818,2024/07/24 17:00
824,2024/07/24 17:00
826,2024/07/24 17:00
832,2024/07/24 17:00
849,2024/07/24 17:00
497,2024/07/24 17:00
902,2024/07/24 17:00
934,2024/07/24 17:00
937,2024/07/24 17:00
993,2024/07/24 17:00
1000,2024/07/24 17:00
1048,2024/07/24 17:00
1105,2024/07/24 17:00
1117,2024/07/24 17:00
1134,2024/07/24 17:00
537,2024/07/24 17:00
301,2024/07/24 17:00
321,2024/07/24 17:00
322,2024/07/24 17:00
336,2024/07/24 17:00
337,2024/07/24 17:00
341,2024/07/24 17:00
353,2024/07/24 17:00
355,2024/07/24 17:00
358,2024/07/24 17:00
365,2024/07/24 17:00
380,2024/07/24 17:00
388,2024/07/24 17:00
391,2024/07/24 17:00
397,2024/07/24 17:00
399,2024/07/24 17:00
400,2024/07/24 17:00
419,2024/07/24 17:00
422,2024/07/24 17:00
423,2024/07/24 17:00
434,2024/07/24 17:00
435,2024/07/24 17:00
438,2024/07/24 17:00
445,2024/07/24 17:00
448,2024/07/24 17:00
457,2024/07/24 17:00
465,2024/07/24 17:00
472,2024/07/24 17:00
480,2024/07/24 17:00
482,2024/07/24 17:00
498,2024/07/24 17:00
520,2024/07/24 17:00
532,2024/07/24 17:00
551,2024/07/24 17:00
561,2024/07/24 17:00
566,2024/07/24 17:00
567,2024/07/24 17:00
570,2024/07/24 17:00
571,2024/07/24 17:00
963,2024/07/24 17:00
965,2024/07/24 17:00
968,2024/07/24 17:00
969,2024/07/24 17:00
975,2024/07/24 17:00
994,2024/07/24 17:00
995,2024/07/24 17:00
998,2024/07/24 17:00
999,2024/07/24 17:00
1014,2024/07/24 17:00
1016,2024/07/24 17:00
1023,2024/07/24 17:00
1026,2024/07/24 17:00
1027,2024/07/24 17:00
1034,2024/07/24 17:00
1035,2024/07/24 17:00
1040,2024/07/24 17:00
1045,2024/07/24 17:00
1051,2024/07/24 17:00
1055,2024/07/24 17:00
1061,2024/07/24 17:00
1065,2024/07/24 17:00
1067,2024/07/24 17:00
1070,2024/07/24 17:00
1082,2024/07/24 17:00
1084,2024/07/24 17:00
1091,2024/07/24 17:00
1113,2024/07/24 17:00
1509,2024/07/24 17:00
1121,2024/07/24 17:00
1127,2024/07/24 17:00
1142,2024/07/24 17:00
1144,2024/07/24 17:00
1151,2024/07/24 17:00
1154,2024/07/24 17:00
1158,2024/07/24 17:00
1163,2024/07/24 17:00
1169,2024/07/24 17:00
1179,2024/07/24 17:00
857,2024/07/24 17:00
870,2024/07/24 17:00
875,2024/07/24 17:00
877,2024/07/24 17:00
897,2024/07/24 17:00
916,2024/07/24 17:00
931,2024/07/24 17:00
941,2024/07/24 17:00
950,2024/07/24 17:00
981,2024/07/24 17:00
988,2024/07/24 17:00
996,2024/07/24 17:00
1007,2024/07/24 17:00
1008,2024/07/24 17:00
1010,2024/07/24 17:00
1011,2024/07/24 17:00
1043,2024/07/24 17:00
1044,2024/07/24 17:00
1047,2024/07/24 17:00
