ficha,fechaYHoraInicio
72,2024/07/29 09:00
75,2024/07/29 09:00
93,2024/07/29 09:00
97,2024/07/29 09:00
7,2024/07/29 09:00
8,2024/07/29 09:00
14,2024/07/29 09:00
21,2024/07/29 09:00
30,2024/07/29 09:00
33,2024/07/29 09:00
35,2024/07/29 09:00
47,2024/07/29 09:00
48,2024/07/29 09:00
50,2024/07/29 09:00
81,2024/07/29 09:00
85,2024/07/29 09:00
89,2024/07/29 09:00
101,2024/07/29 09:00
107,2024/07/29 09:00
109,2024/07/29 09:00
111,2024/07/29 09:00
112,2024/07/29 09:00
114,2024/07/29 09:00
119,2024/07/29 09:00
