ficha,fechaYHoraInicio
F0085,2024/07/30 09:00
F0027,2024/07/30 09:00
F0338,2024/07/30 09:00
F0013,2024/07/30 09:00
F0456,2024/07/30 09:00
F0616,2024/07/30 09:00
F0280,2024/07/30 09:00
F0336,2024/07/30 09:00
F0209,2024/07/30 09:00
F0537,2024/07/30 09:00
F0498,2024/07/30 09:00
F0217,2024/07/30 09:00
F0112,2024/07/30 09:00
F0188,2024/07/30 09:00
F0632,2024/07/30 09:00
F0158,2024/07/30 09:00
F0315,2024/07/30 09:00
F0135,2024/07/30 09:00
F0247,2024/07/30 09:00
F0047,2024/07/30 09:00
F0477,2024/07/30 09:00
F0514,2024/07/30 09:00
F0029,2024/07/30 09:00
F003,2024/07/30 09:00
F004,2024/07/30 09:00
F0712,2024/07/30 09:00
F0159,2024/07/30 09:00
F0241,2024/07/30 09:00
F0510,2024/07/30 09:00
F0195,2024/07/30 09:00
F0337,2024/07/30 09:00
F0531,2024/07/30 09:00
F0036,2024/07/30 09:00
F0043,2024/07/30 09:00
F005,2024/07/30 09:00
F0010,2024/07/30 09:00
F0746,2024/07/30 09:00
F0603,2024/07/30 09:00
F0169,2024/07/30 09:00
F0460,2024/07/30 09:00
F0332,2024/07/30 09:00
F0014,2024/07/30 09:00
F0791,2024/07/30 09:00
F0792,2024/07/30 09:00
F0899,2024/07/30 09:00
F0914,2024/07/30 09:00
F0738,2024/07/30 09:00
F0743,2024/07/30 09:00
F0787,2024/07/30 09:00
F0325,2024/07/30 09:00
F0208,2024/07/30 09:00
F0154,2024/07/30 09:00
F0082,2024/07/30 09:00
F0757,2024/07/30 09:00
F0230,2024/07/30 09:00
F0737,2024/07/30 09:00
F0110,2024/07/30 09:00
F0508,2024/07/30 09:00
F0064,2024/07/30 09:00
F0179,2024/07/30 09:00
F0601,2024/07/30 09:00
F0056,2024/07/30 09:00
F0128,2024/07/30 09:00
F0747,2024/07/30 09:00
F0591,2024/07/30 09:00
F0597,2024/07/30 09:00
F0221,2024/07/30 09:00
F0408,2024/07/30 09:00
F0061,2024/07/30 09:00
F0206,2024/07/30 09:00
F0721,2024/07/30 09:00
F0376,2024/07/30 09:00
F0693,2024/07/30 09:00
F0828,2024/07/30 09:00
F0845,2024/07/30 09:00
F0848,2024/07/30 09:00
F0858,2024/07/30 09:00
F0883,2024/07/30 09:00
F0919,2024/07/30 09:00
