ficha,fechaYHoraInicio
240003,2024/08/01 11:00
240025,2024/08/01 11:00
240036,2024/08/01 11:00
240187,2024/08/01 11:00
240201,2024/08/01 11:00
240212,2024/08/01 11:00
240218,2024/08/01 11:00
240302,2024/08/01 11:00
240328,2024/08/01 11:00
240336,2024/08/01 11:00
240352,2024/08/01 11:00
240353,2024/08/01 11:00
240365,2024/08/01 11:00
030014,2024/08/01 11:00
240002,2024/08/01 12:30
240004,2024/08/01 12:30
240006,2024/08/01 12:30
240007,2024/08/01 12:30
240011,2024/08/01 12:30
240012,2024/08/01 12:30
240013,2024/08/01 12:30
240014,2024/08/01 12:30
240015,2024/08/01 12:30
240016,2024/08/01 12:30
240017,2024/08/01 12:30
240018,2024/08/01 12:30
240019,2024/08/01 12:30
240020,2024/08/01 12:30
240021,2024/08/01 12:30
240022,2024/08/01 12:30
240023,2024/08/01 12:30
240024,2024/08/01 12:30
240027,2024/08/01 12:30
240028,2024/08/01 12:30
240029,2024/08/01 12:30
240030,2024/08/01 12:30
240031,2024/08/01 12:30
240032,2024/08/01 12:30
240033,2024/08/01 12:30
240034,2024/08/01 12:30
240035,2024/08/01 12:30
240044,2024/08/01 12:30
240045,2024/08/01 12:30
240046,2024/08/01 12:30
240047,2024/08/01 12:30
240048,2024/08/01 12:30
240049,2024/08/01 12:30
240050,2024/08/01 12:30
240051,2024/08/01 12:30
240052,2024/08/01 12:30
240053,2024/08/01 12:30
240054,2024/08/01 12:30
240055,2024/08/01 12:30
240056,2024/08/01 12:30
240057,2024/08/01 12:30
240058,2024/08/01 12:30
240059,2024/08/01 12:30
240060,2024/08/01 12:30
240061,2024/08/01 12:30
240062,2024/08/01 12:30
240063,2024/08/01 12:30
240064,2024/08/01 12:30
240065,2024/08/01 12:30
240066,2024/08/01 12:30
240067,2024/08/01 12:30
240068,2024/08/01 12:30
240069,2024/08/01 12:30
240070,2024/08/01 12:30
240071,2024/08/01 12:30
240072,2024/08/01 12:30
240073,2024/08/01 12:30
240074,2024/08/01 12:30
240075,2024/08/01 12:30
240076,2024/08/01 12:30
240077,2024/08/01 12:30
240078,2024/08/01 12:30
240079,2024/08/01 12:30
240080,2024/08/01 12:30
240081,2024/08/01 12:30
240082,2024/08/01 12:30
240083,2024/08/01 12:30
240084,2024/08/01 12:30
240085,2024/08/01 12:30
240086,2024/08/01 12:30
240087,2024/08/01 12:30
240088,2024/08/01 12:30
240089,2024/08/01 12:30
240090,2024/08/01 12:30
240091,2024/08/01 12:30
240092,2024/08/01 12:30
240093,2024/08/01 12:30
240101,2024/08/01 12:30
240102,2024/08/01 12:30
240103,2024/08/01 12:30
240104,2024/08/01 12:30
240105,2024/08/01 12:30
240106,2024/08/01 12:30
240107,2024/08/01 12:30
240108,2024/08/01 12:30
240109,2024/08/01 12:30
240110,2024/08/01 12:30
240111,2024/08/01 12:30
240112,2024/08/01 12:30
240113,2024/08/01 12:30
240114,2024/08/01 12:30
240115,2024/08/01 12:30
240116,2024/08/01 12:30
240117,2024/08/01 12:30
240118,2024/08/01 12:30
240119,2024/08/01 12:30
240120,2024/08/01 12:30
240125,2024/08/01 12:30
240126,2024/08/01 12:30
240127,2024/08/01 12:30
240128,2024/08/01 12:30
240129,2024/08/01 12:30
240130,2024/08/01 12:30
240131,2024/08/01 12:30
240132,2024/08/01 12:30
240133,2024/08/01 12:30
240134,2024/08/01 12:30
240135,2024/08/01 12:30
240136,2024/08/01 12:30
240137,2024/08/01 12:30
240138,2024/08/01 12:30
240139,2024/08/01 12:30
240140,2024/08/01 12:30
240141,2024/08/01 12:30
240142,2024/08/01 12:30
240143,2024/08/01 12:30
240144,2024/08/01 12:30
240145,2024/08/01 12:30
240146,2024/08/01 12:30
240147,2024/08/01 12:30
240148,2024/08/01 12:30
240149,2024/08/01 12:30
240156,2024/08/01 12:30
240157,2024/08/01 12:30
240158,2024/08/01 12:30
240159,2024/08/01 12:30
240160,2024/08/01 12:30
240161,2024/08/01 12:30
240162,2024/08/01 12:30
240163,2024/08/01 12:30
240164,2024/08/01 12:30
240165,2024/08/01 12:30
240166,2024/08/01 12:30
240167,2024/08/01 12:30
240168,2024/08/01 12:30
240169,2024/08/01 12:30
240170,2024/08/01 12:30
240171,2024/08/01 12:30
240172,2024/08/01 12:30
240175,2024/08/01 12:30
240176,2024/08/01 12:30
240177,2024/08/01 12:30
240178,2024/08/01 12:30
240179,2024/08/01 12:30
240182,2024/08/01 12:30
