ficha,fechaYHoraInicio
2818,2024/08/02 09:00
2869,2024/08/02 09:00
2870,2024/08/02 09:00
2941,2024/08/02 09:00
2945,2024/08/02 09:00
2956,2024/08/02 09:00
2960,2024/08/02 09:00
2973,2024/08/02 09:00
3043,2024/08/02 09:00
3052,2024/08/02 09:00
3058,2024/08/02 09:00
3097,2024/08/02 09:00
3098,2024/08/02 09:00
3128,2024/08/02 09:00
3143,2024/08/02 09:00
3144,2024/08/02 09:00
3151,2024/08/02 09:00
3152,2024/08/02 09:00
3157,2024/08/02 09:00
3174,2024/08/02 09:00
3186,2024/08/02 09:00
3292,2024/08/02 09:00
3347,2024/08/02 09:00
3353,2024/08/02 09:00
3406,2024/08/02 09:00
3432,2024/08/02 09:00
3443,2024/08/02 09:00
3465,2024/08/02 09:00
3505,2024/08/02 09:00
3510,2024/08/02 09:00
3519,2024/08/02 09:00
3531,2024/08/02 09:00
3532,2024/08/02 09:00
3533,2024/08/02 09:00
3534,2024/08/02 09:00
3535,2024/08/02 09:00
3537,2024/08/02 09:00
3538,2024/08/02 09:00
3545,2024/08/02 09:00
3548,2024/08/02 09:00
3550,2024/08/02 09:00
3551,2024/08/02 09:00
3552,2024/08/02 09:00
3553,2024/08/02 09:00
3554,2024/08/02 09:00
3555,2024/08/02 09:00
3557,2024/08/02 09:00
3559,2024/08/02 09:00
3560,2024/08/02 09:00
3561,2024/08/02 09:00
3562,2024/08/02 09:00
3563,2024/08/02 09:00
3566,2024/08/02 09:00
3567,2024/08/02 09:00
3568,2024/08/02 09:00
3569,2024/08/02 09:00
3572,2024/08/02 09:00
3573,2024/08/02 09:00
3574,2024/08/02 09:00
3575,2024/08/02 09:00
