ficha,fechaYHoraInicio
040025,2024/08/02 10:00
040055,2024/08/02 10:00
040060,2024/08/02 10:00
040104,2024/08/02 10:00
040123,2024/08/02 10:00
040176,2024/08/02 10:00
040228,2024/08/02 10:00
040232,2024/08/02 10:00
040240,2024/08/02 10:00
040252,2024/08/02 10:00
040339,2024/08/02 10:00
040355,2024/08/02 10:00
070087,2024/08/02 10:00
070088,2024/08/02 10:00
080025,2024/08/02 10:00
080034,2024/08/02 10:00
080066,2024/08/02 10:00
110059,2024/08/02 10:00
110073,2024/08/02 10:00
110078,2024/08/02 10:00
110097,2024/08/02 10:00
110127,2024/08/02 10:00
110150,2024/08/02 10:00
110155,2024/08/02 10:00
110178,2024/08/02 10:00
110185,2024/08/02 10:00
110205,2024/08/02 10:00
110208,2024/08/02 10:00
110218,2024/08/02 10:00
110234,2024/08/02 10:00
110244,2024/08/02 10:00
110257,2024/08/02 10:00
110271,2024/08/02 10:00
110274,2024/08/02 10:00
110354,2024/08/02 10:00
130083,2024/08/02 10:00
130086,2024/08/02 10:00
130154,2024/08/02 10:00
130156,2024/08/02 10:00
160005,2024/08/02 10:00
210010,2024/08/02 10:00
210051,2024/08/02 10:00
210066,2024/08/02 10:00
210077,2024/08/02 10:00
210080,2024/08/02 10:00
210085,2024/08/02 10:00
210143,2024/08/02 10:00
210146,2024/08/02 10:00
060047,2024/08/02 10:00
080071,2024/08/02 10:00
110399,2024/08/02 10:00
110400,2024/08/02 10:00
080072,2024/08/02 10:00
110401,2024/08/02 10:00
130174,2024/08/02 10:00
130175,2024/08/02 10:00
130176,2024/08/02 10:00
130177,2024/08/02 10:00
070091,2024/08/02 10:00
070092,2024/08/02 10:00
040365,2024/08/02 10:00
110402,2024/08/02 10:00
110403,2024/08/02 10:00
040366,2024/08/02 10:00
040367,2024/08/02 10:00
110404,2024/08/02 10:00
060048,2024/08/02 10:00
040368,2024/08/02 10:00
110405,2024/08/02 10:00
110406,2024/08/02 10:00
210147,2024/08/02 10:00
040369,2024/08/02 10:00
040370,2024/08/02 10:00
110407,2024/08/02 10:00
130178,2024/08/02 10:00
