ficha,fechaYHoraInicio
20240363,2024/08/02 09:00
20240514,2024/08/02 09:00
20240551,2024/08/02 09:00
20240556,2024/08/02 09:00
20240557,2024/08/02 09:00
20240564,2024/08/02 09:00
20240566,2024/08/02 09:00
20240580,2024/08/02 09:00
20240585,2024/08/02 09:00
20240598,2024/08/02 09:00
20240601,2024/08/02 09:00
20240609,2024/08/02 09:00
20240620,2024/08/02 09:00
20240628,2024/08/02 09:00
20240629,2024/08/02 09:00
20240630,2024/08/02 09:00
20240635,2024/08/02 09:00
20240644,2024/08/02 09:00
20240646,2024/08/02 09:00
20240651,2024/08/02 09:00
20240666,2024/08/02 09:00
20240682,2024/08/02 09:00
20240683,2024/08/02 09:00
20240691,2024/08/02 09:00
20240694,2024/08/02 09:00
20240704,2024/08/02 09:00
20240711,2024/08/02 09:00
20240713,2024/08/02 09:00
20240719,2024/08/02 09:00
20240734,2024/08/02 09:00
20240737,2024/08/02 09:00
20240740,2024/08/02 09:00
20240742,2024/08/02 09:00
