ficha,fechaYHoraInicio
13489,2024/08/03 09:00
13913,2024/08/03 09:00
14367,2024/08/03 09:00
14377,2024/08/03 09:00
14404,2024/08/03 09:00
13597,2024/08/03 09:00
14422,2024/08/03 09:00
14392,2024/08/03 09:00
14388,2024/08/03 09:00
13626,2024/08/03 09:00
14093,2024/08/03 09:00
14354,2024/08/03 09:00
14452,2024/08/03 09:00
14477,2024/08/03 09:00
14475,2024/08/03 09:00
14387,2024/08/03 09:00
14362,2024/08/03 09:00
13997,2024/08/03 09:00
14226,2024/08/03 09:00
14418,2024/08/03 09:00
14425,2024/08/03 09:00
14155,2024/08/03 09:00
13710,2024/08/03 09:00
13565,2024/08/03 09:00
14403,2024/08/03 09:00
14405,2024/08/03 09:00
14413,2024/08/03 09:00
14382,2024/08/03 09:00
14371,2024/08/03 09:00
13909,2024/08/03 09:00
13613,2024/08/03 09:00
14386,2024/08/03 09:00
14407,2024/08/03 09:00
14301,2024/08/03 09:00
14375,2024/08/03 09:00
13662,2024/08/03 09:00
13815,2024/08/03 09:00
13685,2024/08/03 09:00
14376,2024/08/03 09:00
13762,2024/08/03 09:00
14380,2024/08/03 09:00
14489,2024/08/03 09:00
14426,2024/08/03 09:00
14261,2024/08/03 09:00
14423,2024/08/03 09:00
14348,2024/08/03 09:00
14342,2024/08/03 09:00
13925,2024/08/03 09:00
14007,2024/08/03 09:00
14356,2024/08/03 09:00
13681,2024/08/03 09:00
14391,2024/08/03 09:00
14411,2024/08/03 09:00
14340,2024/08/03 09:00
14378,2024/08/03 09:00
14432,2024/08/03 09:00
14417,2024/08/03 09:00
14366,2024/08/03 09:00
14448,2024/08/03 09:00
26399,2024/08/03 09:00
14374,2024/08/03 09:00
14398,2024/08/03 09:00
14373,2024/08/03 09:00
13935,2024/08/03 09:00
13687,2024/08/03 09:00
14408,2024/08/03 09:00
13794,2024/08/03 09:00
26163,2024/08/03 09:00
13903,2024/08/03 09:00
14483,2024/08/03 09:00
13684,2024/08/03 09:00
14193,2024/08/03 09:00
13560,2024/08/03 09:00
13669,2024/08/03 09:00
14138,2024/08/03 09:00
14412,2024/08/03 09:00
14344,2024/08/03 09:00
13873,2024/08/03 09:00
13496,2024/08/03 09:00
26292,2024/08/03 09:00
14464,2024/08/03 09:00
14434,2024/08/03 09:00
14212,2024/08/03 09:00
14438,2024/08/03 09:00
13483,2024/08/03 09:00
14433,2024/08/03 09:00
14409,2024/08/03 09:00
14476,2024/08/03 09:00
14478,2024/08/03 09:00
19113,2024/08/03 09:00
14484,2024/08/03 09:00
13938,2024/08/03 09:00
14009,2024/08/03 09:00
13851,2024/08/03 09:00
13786,2024/08/03 09:00
14410,2024/08/03 09:00
13970,2024/08/03 09:00
14389,2024/08/03 09:00
13874,2024/08/03 09:00
13840,2024/08/03 09:00
14347,2024/08/03 09:00
14306,2024/08/03 09:00
14414,2024/08/03 09:00
13844,2024/08/03 09:00
14064,2024/08/03 09:00
14419,2024/08/03 09:00
14430,2024/08/03 09:00
14457,2024/08/03 09:00
14437,2024/08/03 09:00
14445,2024/08/03 09:00
14458,2024/08/03 09:00
14453,2024/08/03 09:00
14466,2024/08/03 09:00
13480,2024/08/03 09:00
13603,2024/08/03 09:00
14447,2024/08/03 09:00
13890,2024/08/03 09:00
14443,2024/08/03 09:00
13796,2024/08/03 09:00
14415,2024/08/03 09:00
26103,2024/08/03 09:00
14266,2024/08/03 09:00
14421,2024/08/03 09:00
14268,2024/08/03 09:00
14420,2024/08/03 09:00
14441,2024/08/03 09:00
14480,2024/08/03 09:00
14481,2024/08/03 09:00
14395,2024/08/03 09:00
14450,2024/08/03 09:00
26460,2024/08/03 09:00
26132,2024/08/03 09:00
14324,2024/08/03 09:00
13731,2024/08/03 09:00
13598,2024/08/03 09:00
14070,2024/08/03 09:00
14399,2024/08/03 09:00
14322,2024/08/03 09:00
13877,2024/08/03 09:00
14473,2024/08/03 09:00
