ficha,fechaYHoraInicio
202440053,2024/08/03 10:00
202440461,2024/08/03 10:00
202440475,2024/08/03 10:00
202440480,2024/08/03 10:00
202440482,2024/08/03 10:00
202440501,2024/08/03 10:00
202440503,2024/08/03 10:00
202440517,2024/08/03 10:00
202440520,2024/08/03 10:00
202440523,2024/08/03 10:00
202440543,2024/08/03 10:00
202440544,2024/08/03 10:00
202440549,2024/08/03 10:00
202440551,2024/08/03 10:00
202440552,2024/08/03 10:00
202440555,2024/08/03 10:00
202440558,2024/08/03 10:00
202440561,2024/08/03 10:00
202440562,2024/08/03 10:00
202440565,2024/08/03 10:00
202440566,2024/08/03 10:00
202440573,2024/08/03 10:00
202440572,2024/08/03 10:00
202440575,2024/08/03 10:00
202440582,2024/08/03 10:00
202440587,2024/08/03 10:00
202440611,2024/08/03 10:00
202440624,2024/08/03 10:00
202440634,2024/08/03 10:00
202440635,2024/08/03 10:00
202440651,2024/08/03 10:00
202440653,2024/08/03 10:00
202440656,2024/08/03 10:00
202440662,2024/08/03 10:00
202440677,2024/08/03 10:00
202440678,2024/08/03 10:00
202440680,2024/08/03 10:00
202440697,2024/08/03 10:00
202440700,2024/08/03 10:00
202440703,2024/08/03 10:00
