ficha,fechaYHoraInicio
2852,2024/08/05 08:00
3047,2024/08/05 08:00
2902,2024/08/05 08:00
2853,2024/08/05 08:00
2860,2024/08/05 08:00
2836,2024/08/05 08:00
2763,2024/08/05 08:00
2973,2024/08/05 08:00
2828,2024/08/05 08:00
2754,2024/08/05 08:00
2921,2024/08/05 08:00
2939,2024/08/05 08:00
2893,2024/08/05 08:00
3003,2024/08/05 08:00
2832,2024/08/05 08:00
2824,2024/08/05 08:00
2943,2024/08/05 08:00
3029,2024/08/05 08:00
3061,2024/08/05 08:00
2830,2024/08/05 08:00
2994,2024/08/05 08:00
2956,2024/08/05 08:00
2781,2024/08/05 08:00
3043,2024/08/05 08:00
2817,2024/08/05 08:00
2859,2024/08/05 08:00
2741,2024/08/05 08:00
2869,2024/08/05 08:00
3030,2024/08/05 08:00
2906,2024/08/05 08:00
2940,2024/08/05 08:00
2762,2024/08/05 08:00
2999,2024/08/05 08:00
3041,2024/08/05 08:00
2866,2024/08/05 08:00
2863,2024/08/05 08:00
3122,2024/08/05 08:00
2990,2024/08/05 08:00
2759,2024/08/05 08:00
2883,2024/08/05 08:00
3072,2024/08/05 08:00
2900,2024/08/05 08:00
3023,2024/08/05 08:00
2968,2024/08/05 08:00
2938,2024/08/05 08:00
2926,2024/08/05 08:00
