ficha,fechaYHoraInicio
010035,2024/08/06 10:00
010036,2024/08/06 10:00
010038,2024/08/06 10:00
010039,2024/08/06 10:00
010041,2024/08/06 10:00
010042,2024/08/06 10:00
010043,2024/08/06 10:00
010046,2024/08/06 10:00
010049,2024/08/06 10:00
010050,2024/08/06 10:00
010051,2024/08/06 10:00
010052,2024/08/06 10:00
010053,2024/08/06 10:00
010056,2024/08/06 10:00
010057,2024/08/06 10:00
010058,2024/08/06 10:00
010059,2024/08/06 10:00
010060,2024/08/06 10:00
010061,2024/08/06 10:00
010062,2024/08/06 10:00
010063,2024/08/06 10:00
010064,2024/08/06 10:00
010068,2024/08/06 10:00
010069,2024/08/06 10:00
010070,2024/08/06 10:00
010071,2024/08/06 10:00
010072,2024/08/06 10:00
010073,2024/08/06 10:00
010074,2024/08/06 10:00
010075,2024/08/06 10:00
010076,2024/08/06 10:00
010077,2024/08/06 10:00
040008,2024/08/06 10:00
040022,2024/08/06 10:00
040023,2024/08/06 10:00
040024,2024/08/06 10:00
040027,2024/08/06 10:00
040028,2024/08/06 10:00
040031,2024/08/06 10:00
040037,2024/08/06 10:00
040038,2024/08/06 10:00
040039,2024/08/06 10:00
040040,2024/08/06 10:00
040041,2024/08/06 10:00
070016,2024/08/06 10:00
070018,2024/08/06 10:00
070019,2024/08/06 10:00
070020,2024/08/06 10:00
070024,2024/08/06 10:00
030023,2024/08/06 10:00
030048,2024/08/06 10:00
030049,2024/08/06 10:00
030050,2024/08/06 10:00
030051,2024/08/06 10:00
030053,2024/08/06 10:00
030054,2024/08/06 10:00
030055,2024/08/06 10:00
030056,2024/08/06 10:00
030057,2024/08/06 10:00
030060,2024/08/06 10:00
030061,2024/08/06 10:00
030062,2024/08/06 10:00
030065,2024/08/06 10:00
030072,2024/08/06 10:00
030073,2024/08/06 10:00
030074,2024/08/06 10:00
030077,2024/08/06 10:00
030078,2024/08/06 10:00
030079,2024/08/06 10:00
030080,2024/08/06 10:00
030083,2024/08/06 10:00
030084,2024/08/06 10:00
030085,2024/08/06 10:00
030089,2024/08/06 10:00
030090,2024/08/06 10:00
030091,2024/08/06 10:00
030092,2024/08/06 10:00
030093,2024/08/06 10:00
030095,2024/08/06 10:00
