ficha,fechaYHoraInicio
847,2024/08/06 09:00
843,2024/08/06 09:00
836,2024/08/06 09:00
652,2024/08/06 09:00
851,2024/08/06 09:00
846,2024/08/06 09:00
842,2024/08/06 09:00
841,2024/08/06 09:00
830,2024/08/06 09:00
815,2024/08/06 09:00
782,2024/08/06 09:00
835,2024/08/06 09:00
834,2024/08/06 09:00
832,2024/08/06 09:00
823,2024/08/06 09:00
844,2024/08/06 09:00
831,2024/08/06 09:00
817,2024/08/06 09:00
812,2024/08/06 09:00
821,2024/08/06 09:00
840,2024/08/06 09:00
818,2024/08/06 09:00
816,2024/08/06 09:00
814,2024/08/06 09:00
634,2024/08/06 09:00
850,2024/08/06 09:00
849,2024/08/06 09:00
848,2024/08/06 09:00
833,2024/08/06 09:00
829,2024/08/06 09:00
825,2024/08/06 09:00
824,2024/08/06 09:00
819,2024/08/06 09:00
811,2024/08/06 09:00
826,2024/08/06 09:00
810,2024/08/06 09:00
748,2024/08/06 09:00
