ficha,fechaYHoraInicio
271,2024/08/08 09:00
268,2024/08/08 09:00
226,2024/08/08 09:00
220,2024/08/08 09:00
219,2024/08/08 09:00
195,2024/08/08 09:00
194,2024/08/08 09:00
288,2024/08/08 09:00
284,2024/08/08 09:00
283,2024/08/08 09:00
280,2024/08/08 09:00
278,2024/08/08 09:00
263,2024/08/08 09:00
257,2024/08/08 09:00
252,2024/08/08 09:00
251,2024/08/08 09:00
249,2024/08/08 09:00
248,2024/08/08 09:00
243,2024/08/08 09:00
233,2024/08/08 09:00
225,2024/08/08 09:00
224,2024/08/08 09:00
223,2024/08/08 09:00
217,2024/08/08 09:00
216,2024/08/08 09:00
209,2024/08/08 09:00
199,2024/08/08 09:00
198,2024/08/08 09:00
186,2024/08/08 09:00
177,2024/08/08 09:00
282,2024/08/08 09:00
256,2024/08/08 09:00
244,2024/08/08 09:00
210,2024/08/08 09:00
196,2024/08/08 09:00
190,2024/08/08 09:00
179,2024/08/08 09:00
178,2024/08/08 09:00
279,2024/08/08 09:00
262,2024/08/08 09:00
212,2024/08/08 09:00
201,2024/08/08 09:00
197,2024/08/08 09:00
185,2024/08/08 09:00
