ficha,fechaYHoraInicio
2176,2024/08/09 10:00
2280,2024/08/09 10:00
2281,2024/08/09 10:00
2334,2024/08/09 10:00
2414,2024/08/09 10:00
2425,2024/08/09 10:00
2429,2024/08/09 10:00
2458,2024/08/09 10:00
2465,2024/08/09 10:00
2430,2024/08/09 10:00
2422,2024/08/09 10:00
2393,2024/08/09 10:00
2356,2024/08/09 10:00
2350,2024/08/09 10:00
2333,2024/08/09 10:00
2315,2024/08/09 10:00
2245,2024/08/09 10:00
2222,2024/08/09 10:00
2217,2024/08/09 10:00
2205,2024/08/09 10:00
2198,2024/08/09 10:00
2195,2024/08/09 10:00
2167,2024/08/09 10:00
2138,2024/08/09 10:00
2120,2024/08/09 10:00
2119,2024/08/09 10:00
2063,2024/08/09 10:00
2055,2024/08/09 10:00
2052,2024/08/09 10:00
2007,2024/08/09 10:00
1994,2024/08/09 10:00
1989,2024/08/09 10:00
1985,2024/08/09 10:00
1979,2024/08/09 10:00
1977,2024/08/09 10:00
2487,2024/08/09 10:00
2552,2024/08/09 10:00
2536,2024/08/09 10:00
2504,2024/08/09 10:00
2524,2024/08/09 10:00
2530,2024/08/09 10:00
2534,2024/08/09 10:00
2499,2024/08/09 10:00
2539,2024/08/09 10:00
2522,2024/08/09 10:00
2525,2024/08/09 10:00
2551,2024/08/09 10:00
2488,2024/08/09 10:00
2501,2024/08/09 10:00
2526,2024/08/09 10:00
2509,2024/08/09 10:00
