ficha,fechaYHoraInicio
030257,2024/08/10 17:00
030262,2024/08/10 17:00
030248,2024/08/10 17:00
030256,2024/08/10 17:00
030254,2024/08/10 17:00
030258,2024/08/10 17:00
030245,2024/08/10 17:00
030259,2024/08/10 17:00
030246,2024/08/10 17:00
030255,2024/08/10 17:00
030260,2024/08/10 17:00
030250,2024/08/10 17:00
030244,2024/08/10 17:00
030261,2024/08/10 17:00
030263,2024/08/10 17:00
030252,2024/08/10 17:00
030249,2024/08/10 17:00
030251,2024/08/10 17:00
030247,2024/08/10 17:00
030253,2024/08/10 17:00
040068,2024/08/10 17:00
040070,2024/08/10 17:00
040067,2024/08/10 17:00
040065,2024/08/10 17:00
040069,2024/08/10 17:00
040062,2024/08/10 17:00
040061,2024/08/10 17:00
040064,2024/08/10 17:00
040063,2024/08/10 17:00
040066,2024/08/10 17:00
070183,2024/08/10 17:00
070184,2024/08/10 17:00
070177,2024/08/10 17:00
070181,2024/08/10 17:00
070178,2024/08/10 17:00
070188,2024/08/10 17:00
070176,2024/08/10 17:00
070187,2024/08/10 17:00
070189,2024/08/10 17:00
070174,2024/08/10 17:00
070173,2024/08/10 17:00
070180,2024/08/10 17:00
070186,2024/08/10 17:00
070175,2024/08/10 17:00
070182,2024/08/10 17:00
070179,2024/08/10 17:00
070185,2024/08/10 17:00
080117,2024/08/10 17:00
080120,2024/08/10 17:00
080126,2024/08/10 17:00
080118,2024/08/10 17:00
080124,2024/08/10 17:00
080125,2024/08/10 17:00
080119,2024/08/10 17:00
080116,2024/08/10 17:00
080123,2024/08/10 17:00
080121,2024/08/10 17:00
080122,2024/08/10 17:00
080128,2024/08/10 17:00
080127,2024/08/10 17:00
170108,2024/08/10 17:00
170100,2024/08/10 17:00
170107,2024/08/10 17:00
170098,2024/08/10 17:00
170109,2024/08/10 17:00
170099,2024/08/10 17:00
170106,2024/08/10 17:00
170105,2024/08/10 17:00
170104,2024/08/10 17:00
170097,2024/08/10 17:00
170101,2024/08/10 17:00
170102,2024/08/10 17:00
170096,2024/08/10 17:00
170103,2024/08/10 17:00
180069,2024/08/10 17:00
180076,2024/08/10 17:00
180070,2024/08/10 17:00
180073,2024/08/10 17:00
180068,2024/08/10 17:00
180071,2024/08/10 17:00
180077,2024/08/10 17:00
180075,2024/08/10 17:00
180074,2024/08/10 17:00
180072,2024/08/10 17:00
190091,2024/08/10 17:00
190090,2024/08/10 17:00
190092,2024/08/10 17:00
190087,2024/08/10 17:00
190082,2024/08/10 17:00
190084,2024/08/10 17:00
190086,2024/08/10 17:00
190089,2024/08/10 17:00
190085,2024/08/10 17:00
190094,2024/08/10 17:00
190093,2024/08/10 17:00
190083,2024/08/10 17:00
190088,2024/08/10 17:00
210018,2024/08/10 17:00
210016,2024/08/10 17:00
210019,2024/08/10 17:00
210017,2024/08/10 17:00
