ficha,fechaYHoraInicio
1114,2024/08/12 09:00
1113,2024/08/12 09:00
1112,2024/08/12 09:00
1111,2024/08/12 09:00
1109,2024/08/12 09:00
1108,2024/08/12 09:00
1106,2024/08/12 09:00
1104,2024/08/12 09:00
1103,2024/08/12 09:00
1102,2024/08/12 09:00
1101,2024/08/12 09:00
1098,2024/08/12 09:00
1096,2024/08/12 09:00
1095,2024/08/12 09:00
1093,2024/08/12 09:00
1092,2024/08/12 09:00
1091,2024/08/12 09:00
1090,2024/08/12 09:00
1089,2024/08/12 09:00
1087,2024/08/12 09:00
1086,2024/08/12 09:00
1084,2024/08/12 09:00
1083,2024/08/12 09:00
1082,2024/08/12 09:00
1081,2024/08/12 09:00
1080,2024/08/12 09:00
1071,2024/08/12 09:00
1070,2024/08/12 09:00
1069,2024/08/12 09:00
1065,2024/08/12 09:00
1062,2024/08/12 09:00
1061,2024/08/12 09:00
1060,2024/08/12 09:00
1059,2024/08/12 09:00
1058,2024/08/12 09:00
1057,2024/08/12 09:00
965,2024/08/12 09:00
953,2024/08/12 09:00
950,2024/08/12 09:00
893,2024/08/12 09:00
885,2024/08/12 09:00
864,2024/08/12 09:00
856,2024/08/12 09:00
845,2024/08/12 09:00
839,2024/08/12 09:00
