ficha,fechaYHoraInicio
240418,2024/08/12 10:00
240876,2024/08/12 10:00
240878,2024/08/12 10:00
240909,2024/08/12 10:00
240952,2024/08/12 10:00
240953,2024/08/12 10:00
240969,2024/08/12 10:00
240970,2024/08/12 10:00
240971,2024/08/12 10:00
241026,2024/08/12 10:00
240178,2024/08/12 10:00
240189,2024/08/12 10:00
240879,2024/08/12 10:00
240880,2024/08/12 10:00
240961,2024/08/12 10:00
240977,2024/08/12 10:00
240978,2024/08/12 10:00
240979,2024/08/12 10:00
240115,2024/08/12 10:00
240381,2024/08/12 10:00
240486,2024/08/12 10:00
240899,2024/08/12 10:00
240904,2024/08/12 10:00
240910,2024/08/12 10:00
240911,2024/08/12 10:00
240960,2024/08/12 10:00
240962,2024/08/12 10:00
240972,2024/08/12 10:00
240973,2024/08/12 10:00
240974,2024/08/12 10:00
240975,2024/08/12 10:00
240976,2024/08/12 10:00
241027,2024/08/12 10:00
241028,2024/08/12 10:00
241029,2024/08/12 10:00
240232,2024/08/12 10:00
240446,2024/08/12 10:00
240578,2024/08/12 10:00
240641,2024/08/12 10:00
240685,2024/08/12 10:00
240885,2024/08/12 10:00
240886,2024/08/12 10:00
240887,2024/08/12 10:00
240888,2024/08/12 10:00
240901,2024/08/12 10:00
240906,2024/08/12 10:00
240907,2024/08/12 10:00
240922,2024/08/12 10:00
240923,2024/08/12 10:00
240924,2024/08/12 10:00
240925,2024/08/12 10:00
240926,2024/08/12 10:00
240931,2024/08/12 10:00
240944,2024/08/12 10:00
240951,2024/08/12 10:00
240954,2024/08/12 10:00
240959,2024/08/12 10:00
240963,2024/08/12 10:00
240964,2024/08/12 10:00
240999,2024/08/12 10:00
241000,2024/08/12 10:00
241001,2024/08/12 10:00
241002,2024/08/12 10:00
241003,2024/08/12 10:00
241004,2024/08/12 10:00
241005,2024/08/12 10:00
241040,2024/08/12 10:00
241041,2024/08/12 10:00
241043,2024/08/12 10:00
241045,2024/08/12 10:00
240191,2024/08/12 10:00
240295,2024/08/12 10:00
240470,2024/08/12 10:00
240881,2024/08/12 10:00
240882,2024/08/12 10:00
240883,2024/08/12 10:00
240905,2024/08/12 10:00
240913,2024/08/12 10:00
240914,2024/08/12 10:00
240915,2024/08/12 10:00
240945,2024/08/12 10:00
240946,2024/08/12 10:00
240955,2024/08/12 10:00
240956,2024/08/12 10:00
240983,2024/08/12 10:00
240984,2024/08/12 10:00
240985,2024/08/12 10:00
240986,2024/08/12 10:00
240987,2024/08/12 10:00
241023,2024/08/12 10:00
241031,2024/08/12 10:00
241032,2024/08/12 10:00
241033,2024/08/12 10:00
241034,2024/08/12 10:00
241042,2024/08/12 10:00
241044,2024/08/12 10:00
240521,2024/08/12 10:00
240889,2024/08/12 10:00
240890,2024/08/12 10:00
240902,2024/08/12 10:00
240908,2024/08/12 10:00
240935,2024/08/12 10:00
240936,2024/08/12 10:00
240937,2024/08/12 10:00
240947,2024/08/12 10:00
240948,2024/08/12 10:00
240965,2024/08/12 10:00
241013,2024/08/12 10:00
241014,2024/08/12 10:00
241015,2024/08/12 10:00
241025,2024/08/12 10:00
241051,2024/08/12 10:00
241052,2024/08/12 10:00
241053,2024/08/12 10:00
241054,2024/08/12 10:00
