ficha,fechaYHoraInicio
DA-24-073,2024/08/12 09:00
DA-24-084,2024/08/12 09:00
DA-24-089,2024/08/12 09:00
DA-24-123,2024/08/12 09:00
DA-24-128,2024/08/12 09:00
DA-24-129,2024/08/12 09:00
DA-24-133,2024/08/12 09:00
DA-24-135,2024/08/12 09:00
DA-24-140,2024/08/12 09:00
DA-24-141,2024/08/12 09:00
DA-24-143,2024/08/12 09:00
DA-24-145,2024/08/12 09:00
DA-24-161,2024/08/12 09:00
DA-24-166,2024/08/12 09:00
DA-24-183,2024/08/12 09:00
DA-24-010AE,2024/08/12 09:00
DA-24-012AE,2024/08/12 09:00
DA-24-013AE,2024/08/12 09:00
DA-24-015AE,2024/08/12 09:00
DA-24-016AE,2024/08/12 09:00
DA-24-017AE,2024/08/12 09:00
DA-24-018AE,2024/08/12 09:00
DA-24-020AE,2024/08/12 09:00
DA-24-021AE,2024/08/12 09:00
DA-24-022AE,2024/08/12 09:00
DA-24-023AE,2024/08/12 09:00
DA-24-025AE,2024/08/12 09:00
DA-24-027AE,2024/08/12 09:00
DA-24-028AE,2024/08/12 09:00
DA-24-029AE,2024/08/12 09:00
DA-24-030AE,2024/08/12 09:00
DA-24-031AE,2024/08/12 09:00
DA-24-032AE,2024/08/12 09:00
DA-24-033AE,2024/08/12 09:00
DA-24-035AE,2024/08/12 09:00
DA-24-036AE,2024/08/12 09:00
DA-24-037AE,2024/08/12 09:00
DA-24-038AE,2024/08/12 09:00
DA-24-039AE,2024/08/12 09:00
DA-24-040AE,2024/08/12 09:00
