ficha,fechaYHoraInicio
050114,2024/08/13 10:00
050115,2024/08/13 10:00
050116,2024/08/13 10:00
050117,2024/08/13 10:00
050118,2024/08/13 10:00
050119,2024/08/13 10:00
050127,2024/08/13 10:00
050128,2024/08/13 10:00
050129,2024/08/13 10:00
050130,2024/08/13 10:00
050131,2024/08/13 10:00
050132,2024/08/13 10:00
050133,2024/08/13 10:00
050134,2024/08/13 10:00
050135,2024/08/13 10:00
050137,2024/08/13 10:00
050140,2024/08/13 10:00
050143,2024/08/13 10:00
050144,2024/08/13 10:00
050145,2024/08/13 10:00
050147,2024/08/13 10:00
050148,2024/08/13 10:00
050149,2024/08/13 10:00
050150,2024/08/13 10:00
050151,2024/08/13 10:00
050152,2024/08/13 10:00
050153,2024/08/13 10:00
050154,2024/08/13 10:00
050155,2024/08/13 10:00
050156,2024/08/13 10:00
050091,2024/08/13 10:00
050157,2024/08/13 10:00
050158,2024/08/13 10:00
