ficha,fechaYHoraInicio
170013,2024/08/12 09:00
230025,2024/08/12 09:00
110045,2024/08/12 09:00
060067,2024/08/12 09:00
170014,2024/08/12 09:00
060068,2024/08/12 09:00
050038,2024/08/12 09:00
230026,2024/08/12 09:00
050039,2024/08/12 09:00
050040,2024/08/12 09:00
050041,2024/08/12 09:00
110046,2024/08/12 09:00
210037,2024/08/12 09:00
160031,2024/08/12 09:00
230027,2024/08/12 09:00
060069,2024/08/12 09:00
210038,2024/08/12 09:00
210039,2024/08/12 09:00
210040,2024/08/12 09:00
210041,2024/08/12 09:00
110047,2024/08/12 09:00
170015,2024/08/12 09:00
070037,2024/08/12 09:00
