ficha,fechaYHoraInicio
310,2024/08/14 09:00
311,2024/08/14 09:00
323,2024/08/14 09:00
340,2024/08/14 09:00
350,2024/08/14 09:00
360,2024/08/14 09:00
363,2024/08/14 09:00
364,2024/08/14 09:00
376,2024/08/14 09:00
384,2024/08/14 09:00
395,2024/08/14 12:00
397,2024/08/14 12:00
410,2024/08/14 12:00
418,2024/08/14 12:00
430,2024/08/14 12:00
434,2024/08/14 12:00
435,2024/08/14 12:00
439,2024/08/14 12:00
441,2024/08/14 12:00
449,2024/08/14 12:00
454,2024/08/14 12:00
464,2024/08/14 12:00
469,2024/08/14 12:00
