ficha,fechaYHoraInicio
317,2024/08/14 09:00
326,2024/08/14 09:00
334,2024/08/14 09:00
339,2024/08/14 09:00
343,2024/08/14 09:00
347,2024/08/14 09:00
351,2024/08/14 09:00
354,2024/08/14 09:00
356,2024/08/14 09:00
358,2024/08/14 09:00
368,2024/08/14 09:00
385,2024/08/14 09:00
390,2024/08/14 09:00
391,2024/08/14 09:00
392,2024/08/14 09:00
394,2024/08/14 12:00
396,2024/08/14 12:00
400,2024/08/14 12:00
401,2024/08/14 12:00
408,2024/08/14 12:00
416,2024/08/14 12:00
422,2024/08/14 12:00
424,2024/08/14 12:00
428,2024/08/14 12:00
437,2024/08/14 12:00
443,2024/08/14 12:00
446,2024/08/14 12:00
451,2024/08/14 12:00
455,2024/08/14 12:00
474,2024/08/14 12:00
