ficha,fechaYHoraInicio
307,2024/08/14 09:00
313,2024/08/14 09:00
316,2024/08/14 09:00
325,2024/08/14 09:00
329,2024/08/14 09:00
330,2024/08/14 09:00
332,2024/08/14 09:00
335,2024/08/14 09:00
359,2024/08/14 09:00
367,2024/08/14 09:00
372,2024/08/14 09:00
375,2024/08/14 09:00
381,2024/08/14 09:00
382,2024/08/14 09:00
407,2024/08/14 12:00
409,2024/08/14 12:00
415,2024/08/14 12:00
421,2024/08/14 12:00
444,2024/08/14 12:00
447,2024/08/14 12:00
450,2024/08/14 12:00
460,2024/08/14 12:00
468,2024/08/14 12:00
472,2024/08/14 12:00
476,2024/08/14 12:00
477,2024/08/14 12:00
