ficha,fechaYHoraInicio
20011,2024/08/14 09:00
20012,2024/08/14 09:00
20013,2024/08/14 09:00
30044,2024/08/14 09:00
70007,2024/08/14 09:00
20014,2024/08/14 09:00
20016,2024/08/14 09:00
10007,2024/08/14 09:00
10011,2024/08/14 09:00
10017,2024/08/14 09:00
10024,2024/08/14 09:00
10027,2024/08/14 09:00
10035,2024/08/14 09:00
10037,2024/08/14 09:00
10038,2024/08/14 09:00
10040,2024/08/14 09:00
10041,2024/08/14 09:00
10044,2024/08/14 09:00
10046,2024/08/14 09:00
10053,2024/08/14 09:00
10054,2024/08/14 09:00
10056,2024/08/14 09:00
10005,2024/08/14 09:00
10025,2024/08/14 09:00
10057,2024/08/14 09:00
10062,2024/08/14 09:00
50010,2024/08/14 09:00
10029,2024/08/14 12:00
20015,2024/08/14 12:00
30058,2024/08/14 12:00
40025,2024/08/14 12:00
40037,2024/08/14 12:00
40040,2024/08/14 12:00
40041,2024/08/14 12:00
40042,2024/08/14 12:00
40043,2024/08/14 12:00
40044,2024/08/14 12:00
40045,2024/08/14 12:00
40046,2024/08/14 12:00
40047,2024/08/14 12:00
40049,2024/08/14 12:00
40050,2024/08/14 12:00
40051,2024/08/14 12:00
40053,2024/08/14 12:00
40057,2024/08/14 12:00
40058,2024/08/14 12:00
40059,2024/08/14 12:00
40061,2024/08/14 12:00
40063,2024/08/14 12:00
60003,2024/08/14 12:00
40064,2024/08/14 12:00
40065,2024/08/14 12:00
40066,2024/08/14 12:00
40067,2024/08/14 12:00
60012,2024/08/14 12:00
40034,2024/08/14 12:00
40035,2024/08/14 12:00
40072,2024/08/14 12:00
80004,2024/08/14 17:00
80007,2024/08/14 17:00
50002,2024/08/14 17:00
50008,2024/08/14 17:00
60015,2024/08/14 17:00
