ficha,fechaYHoraInicio
070086,2024/08/17 09:00
070087,2024/08/17 09:00
070080,2024/08/17 09:00
070076,2024/08/17 09:00
070081,2024/08/17 09:00
070083,2024/08/17 09:00
070084,2024/08/17 09:00
070085,2024/08/17 09:00
070088,2024/08/17 09:00
070092,2024/08/17 09:00
070082,2024/08/17 09:00
070089,2024/08/17 09:00
020015,2024/08/17 09:00
020016,2024/08/17 09:00
020017,2024/08/17 09:00
020018,2024/08/17 09:00
0990010,2024/08/17 09:00
090011,2024/08/17 09:00
010113,2024/08/17 09:00
010114,2024/08/17 09:00
010115,2024/08/17 09:00
010116,2024/08/17 09:00
010117,2024/08/17 09:00
010119,2024/08/17 09:00
010121,2024/08/17 09:00
010120,2024/08/17 09:00
010118,2024/08/17 09:00
010122,2024/08/17 09:00
010123,2024/08/17 09:00
0101025,2024/08/17 09:00
010127,2024/08/17 09:00
010126,2024/08/17 09:00
010124,2024/08/17 09:00
010132,2024/08/17 09:00
010131,2024/08/17 09:00
010130,2024/08/17 09:00
010128,2024/08/17 09:00
010134,2024/08/17 09:00
050057,2024/08/17 09:00
050058,2024/08/17 09:00
050061,2024/08/17 09:00
050060,2024/08/17 09:00
050059,2024/08/17 09:00
050062,2024/08/17 09:00
040035,2024/08/17 09:00
040036,2024/08/17 09:00
040037,2024/08/17 09:00
040039,2024/08/17 09:00
030097,2024/08/17 09:00
030099,2024/08/17 09:00
030098,2024/08/17 09:00
030100,2024/08/17 09:00
030101,2024/08/17 09:00
030102,2024/08/17 09:00
030103,2024/08/17 09:00
030104,2024/08/17 09:00
030109,2024/08/17 09:00
030106,2024/08/17 09:00
030110,2024/08/17 09:00
110053,2024/08/17 09:00
110054,2024/08/17 09:00
060031,2024/08/17 09:00
060032,2024/08/17 09:00
