ficha,fechaYHoraInicio
010034,2024/08/19 08:00
010035,2024/08/19 08:00
010036,2024/08/19 08:00
010037,2024/08/19 08:00
010038,2024/08/19 08:00
010039,2024/08/19 08:00
010040,2024/08/19 08:00
010041,2024/08/19 08:00
010042,2024/08/19 08:00
010043,2024/08/19 08:00
010044,2024/08/19 08:00
010045,2024/08/19 08:00
010046,2024/08/19 08:00
010047,2024/08/19 08:00
010048,2024/08/19 08:00
010049,2024/08/19 08:00
010050,2024/08/19 08:00
010051,2024/08/19 08:00
010052,2024/08/19 08:00
010053,2024/08/19 08:00
010054,2024/08/19 08:00
010055,2024/08/19 08:00
010056,2024/08/19 08:00
010057,2024/08/19 08:00
010058,2024/08/19 08:00
010059,2024/08/19 08:00
010060,2024/08/19 08:00
010062,2024/08/19 08:00
010063,2024/08/19 08:00
010064,2024/08/19 08:00
010065,2024/08/19 08:00
010066,2024/08/19 08:00
010067,2024/08/19 08:00
010068,2024/08/19 08:00
010069,2024/08/19 08:00
010070,2024/08/19 08:00
010071,2024/08/19 08:00
010072,2024/08/19 08:00
010073,2024/08/19 08:00
010074,2024/08/19 08:00
010075,2024/08/19 08:00
010076,2024/08/19 08:00
010077,2024/08/19 08:00
010078,2024/08/19 08:00
010079,2024/08/19 12:00
010080,2024/08/19 12:00
010081,2024/08/19 12:00
010082,2024/08/19 12:00
010083,2024/08/19 12:00
010084,2024/08/19 12:00
010085,2024/08/19 12:00
020039,2024/08/19 12:00
020042,2024/08/19 12:00
020043,2024/08/19 12:00
020044,2024/08/19 12:00
020045,2024/08/19 12:00
020046,2024/08/19 12:00
020047,2024/08/19 12:00
020048,2024/08/19 12:00
020049,2024/08/19 12:00
020050,2024/08/19 12:00
020051,2024/08/19 12:00
020052,2024/08/19 12:00
020053,2024/08/19 12:00
020054,2024/08/19 12:00
020055,2024/08/19 12:00
020056,2024/08/19 12:00
020057,2024/08/19 12:00
020058,2024/08/19 12:00
020059,2024/08/19 12:00
020060,2024/08/19 12:00
020061,2024/08/19 12:00
020062,2024/08/19 12:00
020063,2024/08/19 12:00
020064,2024/08/19 12:00
020065,2024/08/19 12:00
020066,2024/08/19 12:00
020067,2024/08/19 12:00
020068,2024/08/19 12:00
020069,2024/08/19 12:00
020070,2024/08/19 12:00
020071,2024/08/19 12:00
020072,2024/08/19 12:00
020073,2024/08/19 12:00
020074,2024/08/19 12:00
020076,2024/08/19 12:00
020077,2024/08/19 12:00
020078,2024/08/19 12:00
