ficha,fechaYHoraInicio
4883,2024/08/19 09:00
4935,2024/08/19 09:00
4967,2024/08/19 09:00
5047,2024/08/19 09:00
5105,2024/08/19 09:00
5147,2024/08/19 09:00
5154,2024/08/19 09:00
5214,2024/08/19 09:00
5231,2024/08/19 09:00
5232,2024/08/19 09:00
5234,2024/08/19 09:00
5241,2024/08/19 09:00
5245,2024/08/19 09:00
5246,2024/08/19 09:00
5249,2024/08/19 09:00
5252,2024/08/19 09:00
5256,2024/08/19 09:00
5258,2024/08/19 09:00
5260,2024/08/19 09:00
5261,2024/08/19 09:00
5262,2024/08/19 09:00
5266,2024/08/19 09:00
5267,2024/08/19 09:00
5272,2024/08/19 09:00
5281,2024/08/19 09:00
5284,2024/08/19 09:00
5288,2024/08/19 09:00
5290,2024/08/19 09:00
5291,2024/08/19 09:00
5295,2024/08/19 09:00
5300,2024/08/19 09:00
5301,2024/08/19 09:00
5302,2024/08/19 09:00
5303,2024/08/19 09:00
5307,2024/08/19 09:00
5308,2024/08/19 09:00
