ficha,fechaYHoraInicio
2024-002,2024/08/21 09:00
2024-015,2024/08/21 09:00
2024-018,2024/08/21 09:00
2024-027,2024/08/21 09:00
2024-031,2024/08/21 09:00
2024-032,2024/08/21 09:00
2024-033,2024/08/21 09:00
2024-041,2024/08/21 09:00
2024-050,2024/08/21 09:00
2024-054,2024/08/21 09:00
2024-060,2024/08/21 09:00
2024-067,2024/08/21 09:00
2024-075,2024/08/21 09:00
2024-099,2024/08/21 09:00
2024-003,2024/08/21 10:00
2024-011,2024/08/21 10:00
2024-012,2024/08/21 10:00
2024-014,2024/08/21 10:00
2024-017,2024/08/21 10:00
2024-025,2024/08/21 10:00
2024-026,2024/08/21 10:00
2024-034,2024/08/21 10:00
2024-035,2024/08/21 10:00
2024-055,2024/08/21 10:00
2024-069,2024/08/21 10:00
2024-071,2024/08/21 10:00
2024-084,2024/08/21 10:00
2024-086,2024/08/21 10:00
2024-089,2024/08/21 10:00
2024-004,2024/08/21 11:00
2024-009,2024/08/21 11:00
2024-010,2024/08/21 11:00
2024-013,2024/08/21 11:00
2024-016,2024/08/21 11:00
2024-019,2024/08/21 11:00
2024-021,2024/08/21 11:00
2024-023,2024/08/21 11:00
2024-028,2024/08/21 11:00
2024-029,2024/08/21 11:00
2024-030,2024/08/21 11:00
2024-036,2024/08/21 11:00
2024-037,2024/08/21 11:00
2024-039,2024/08/21 11:00
2024-042,2024/08/21 11:00
2024-053,2024/08/21 11:00
2024-057,2024/08/21 12:00
2024-061,2024/08/21 12:00
2024-062,2024/08/21 12:00
2024-068,2024/08/21 12:00
2024-072,2024/08/21 12:00
2024-074,2024/08/21 12:00
2024-076,2024/08/21 12:00
2024-080,2024/08/21 12:00
2024-083,2024/08/21 12:00
2024-085,2024/08/21 12:00
2024-088,2024/08/21 12:00
2024-091,2024/08/21 12:00
2024-095,2024/08/21 12:00
2024-097,2024/08/21 12:00
2024-098,2024/08/21 12:00
2024-100,2024/08/21 12:00
