ficha,fechaYHoraInicio
2024B1625,2024/08/23 10:00
2024B2014,2024/08/23 10:00
2024B2031,2024/08/23 10:00
2024B2040,2024/08/23 10:00
2024B1881,2024/08/23 10:00
2024B1926,2024/08/23 10:00
2024B1959,2024/08/23 10:00
2024B1862,2024/08/23 10:00
2023B0168,2024/08/23 10:00
2024B0150,2024/08/23 10:00
2024B2048,2024/08/23 10:00
2024B1993,2024/08/23 10:00
2024B2039,2024/08/23 10:00
2024B1922,2024/08/23 10:00
2024B1947,2024/08/23 10:00
2024B1994,2024/08/23 10:00
2024B1849,2024/08/23 10:00
2024B1940,2024/08/23 10:00
2024B2046,2024/08/23 10:00
2024B0046,2024/08/23 10:00
2024B2038,2024/08/23 10:00
2024B2034,2024/08/23 10:00
2024B0245,2024/08/23 10:00
