ficha,fechaYHoraInicio
030002,2024/08/23 09:00
030005,2024/08/23 09:00
030011,2024/08/23 09:00
030014,2024/08/23 09:00
030015,2024/08/23 09:00
030016,2024/08/23 09:00
030019,2024/08/23 09:00
030022,2024/08/23 09:00
030024,2024/08/23 09:00
030025,2024/08/23 09:00
030026,2024/08/23 09:00
030029,2024/08/23 09:00
030031,2024/08/23 09:00
030034,2024/08/23 09:00
030036,2024/08/23 09:00
030039,2024/08/23 09:00
030040,2024/08/23 09:00
030041,2024/08/23 09:00
030042,2024/08/23 09:00
030043,2024/08/23 09:00
030044,2024/08/23 09:00
030048,2024/08/23 09:00
030049,2024/08/23 09:00
030055,2024/08/23 09:00
030056,2024/08/23 09:00
030059,2024/08/23 09:00
030060,2024/08/23 09:00
030062,2024/08/23 09:00
030063,2024/08/23 09:00
030064,2024/08/23 09:00
030065,2024/08/23 09:00
030066,2024/08/23 09:00
030067,2024/08/23 09:00
030068,2024/08/23 09:00
030069,2024/08/23 09:00
030070,2024/08/23 09:00
030072,2024/08/23 09:00
030071,2024/08/23 09:00
030073,2024/08/23 09:00
030074,2024/08/23 09:00
030075,2024/08/23 09:00
040002,2024/08/23 09:00
040007,2024/08/23 09:00
040009,2024/08/23 09:00
040011,2024/08/23 09:00
040013,2024/08/23 09:00
040014,2024/08/23 09:00
040017,2024/08/23 09:00
040018,2024/08/23 09:00
040019,2024/08/23 09:00
040021,2024/08/23 09:00
040022,2024/08/23 09:00
040024,2024/08/23 09:00
040026,2024/08/23 09:00
040027,2024/08/23 09:00
040028,2024/08/23 09:00
040029,2024/08/23 09:00
040030,2024/08/23 09:00
040032,2024/08/23 09:00
040035,2024/08/23 09:00
040037,2024/08/23 09:00
040038,2024/08/23 09:00
040039,2024/08/23 09:00
040040,2024/08/23 09:00
040041,2024/08/23 09:00
040042,2024/08/23 09:00
040043,2024/08/23 09:00
040044,2024/08/23 09:00
040045,2024/08/23 09:00
040046,2024/08/23 09:00
040047,2024/08/23 09:00
040049,2024/08/23 09:00
040050,2024/08/23 09:00
040051,2024/08/23 09:00
010001,2024/08/23 09:00
010012,2024/08/23 09:00
010021,2024/08/23 09:00
010022,2024/08/23 09:00
010027,2024/08/23 09:00
010030,2024/08/23 09:00
010025,2024/08/23 09:00
010026,2024/08/23 09:00
010033,2024/08/23 09:00
010034,2024/08/23 09:00
010035,2024/08/23 09:00
010038,2024/08/23 09:00
010041,2024/08/23 09:00
010042,2024/08/23 09:00
010043,2024/08/23 09:00
010045,2024/08/23 09:00
010046,2024/08/23 09:00
010047,2024/08/23 09:00
010048,2024/08/23 09:00
010049,2024/08/23 09:00
010051,2024/08/23 09:00
010052,2024/08/23 09:00
010053,2024/08/23 09:00
010054,2024/08/23 09:00
010057,2024/08/23 09:00
010060,2024/08/23 09:00
010061,2024/08/23 09:00
010062,2024/08/23 09:00
010063,2024/08/23 09:00
010064,2024/08/23 09:00
010065,2024/08/23 09:00
010066,2024/08/23 09:00
010067,2024/08/23 09:00
010068,2024/08/23 09:00
010069,2024/08/23 09:00
010071,2024/08/23 09:00
010070,2024/08/23 09:00
010072,2024/08/23 09:00
010073,2024/08/23 09:00
010074,2024/08/23 09:00
010078,2024/08/23 09:00
010080,2024/08/23 09:00
010079,2024/08/23 09:00
220001,2024/08/23 09:00
220002,2024/08/23 09:00
220003,2024/08/23 09:00
220004,2024/08/23 09:00
220005,2024/08/23 09:00
220012,2024/08/23 09:00
220015,2024/08/23 09:00
220017,2024/08/23 09:00
220018,2024/08/23 09:00
220019,2024/08/23 09:00
220021,2024/08/23 09:00
220022,2024/08/23 09:00
220024,2024/08/23 09:00
220025,2024/08/23 09:00
220028,2024/08/23 09:00
220032,2024/08/23 09:00
220033,2024/08/23 09:00
220037,2024/08/23 09:00
220038,2024/08/23 09:00
220040,2024/08/23 09:00
220041,2024/08/23 09:00
220039,2024/08/23 09:00
220042,2024/08/23 09:00
220043,2024/08/23 09:00
220044,2024/08/23 09:00
220045,2024/08/23 09:00
220046,2024/08/23 09:00
220047,2024/08/23 09:00
220048,2024/08/23 09:00
220049,2024/08/23 09:00
220050,2024/08/23 09:00
220051,2024/08/23 09:00
220052,2024/08/23 09:00
220053,2024/08/23 09:00
220054,2024/08/23 09:00
220055,2024/08/23 09:00
220056,2024/08/23 09:00
220058,2024/08/23 09:00
220057,2024/08/23 09:00
220060,2024/08/23 09:00
220059,2024/08/23 09:00
220061,2024/08/23 09:00
220062,2024/08/23 09:00
