ficha,fechaYHoraInicio
3556,2024/08/27 09:00
3565,2024/08/27 09:00
3571,2024/08/27 09:00
3576,2024/08/27 09:00
3578,2024/08/27 09:00
3579,2024/08/27 09:00
3581,2024/08/27 09:00
3582,2024/08/27 09:00
3583,2024/08/27 09:00
3584,2024/08/27 09:00
3585,2024/08/27 09:00
3586,2024/08/27 09:00
3588,2024/08/27 09:00
3589,2024/08/27 09:00
3591,2024/08/27 09:00
3592,2024/08/27 09:00
3594,2024/08/27 09:00
3595,2024/08/27 09:00
3596,2024/08/27 09:00
3598,2024/08/27 09:00
3601,2024/08/27 09:00
3602,2024/08/27 09:00
3603,2024/08/27 09:00
3605,2024/08/27 09:00
3606,2024/08/27 09:00
3607,2024/08/27 09:00
3608,2024/08/27 09:00
3609,2024/08/27 09:00
3610,2024/08/27 09:00
