ficha,fechaYHoraInicio
1808,2024/08/30 09:00
1849,2024/08/30 09:00
1897,2024/08/30 09:00
2041,2024/08/30 09:00
1770,2024/08/30 09:00
2160,2024/08/30 09:00
1994,2024/08/30 09:00
1863,2024/08/30 09:00
1805,2024/08/30 09:00
2090,2024/08/30 09:00
2155,2024/08/30 09:00
1789,2024/08/30 09:00
1902,2024/08/30 09:00
1727,2024/08/30 09:00
2087,2024/08/30 09:00
1880,2024/08/30 09:00
1936,2024/08/30 09:00
1908,2024/08/30 09:00
1892,2024/08/30 09:00
1752,2024/08/30 09:00
2017,2024/08/30 09:00
1715,2024/08/30 09:00
2032,2024/08/30 09:00
1787,2024/08/30 09:00
2133,2024/08/30 09:00
2150,2024/08/30 09:00
1768,2024/08/30 09:00
2170,2024/08/30 09:00
1865,2024/08/30 09:00
1909,2024/08/30 09:00
2175,2024/08/30 09:00
1882,2024/08/30 09:00
2065,2024/08/30 09:00
2146,2024/08/30 09:00
2118,2024/08/30 09:00
2158,2024/08/30 09:00
1722,2024/08/30 09:00
