ficha,fechaYHoraInicio
4892,2024/10/04 09:00
5084,2024/10/04 09:00
5112,2024/10/04 09:00
5165,2024/10/04 09:00
5183,2024/10/04 09:00
5196,2024/10/04 09:00
5239,2024/10/04 09:00
5240,2024/10/04 09:00
5242,2024/10/04 09:00
5256,2024/10/04 09:00
5259,2024/10/04 09:00
5276,2024/10/04 09:00
5278,2024/10/04 09:00
5294,2024/10/04 09:00
5295,2024/10/04 09:00
5309,2024/10/04 09:00
5311,2024/10/04 09:00
5312,2024/10/04 09:00
5313,2024/10/04 09:00
5314,2024/10/04 09:00
5316,2024/10/04 09:00
5319,2024/10/04 09:00
5320,2024/10/04 09:00
5321,2024/10/04 09:00
5325,2024/10/04 09:00
5326,2024/10/04 09:00
5327,2024/10/04 12:00
5328,2024/10/04 12:00
5329,2024/10/04 12:00
5331,2024/10/04 12:00
5333,2024/10/04 12:00
5334,2024/10/04 12:00
5335,2024/10/04 12:00
5337,2024/10/04 12:00
5338,2024/10/04 12:00
5339,2024/10/04 12:00
5340,2024/10/04 12:00
5341,2024/10/04 12:00
5342,2024/10/04 12:00
5343,2024/10/04 12:00
5344,2024/10/04 12:00
5345,2024/10/04 12:00
5346,2024/10/04 12:00
5347,2024/10/04 12:00
5348,2024/10/04 12:00
5351,2024/10/04 12:00
5352,2024/10/04 12:00
5353,2024/10/04 12:00
5355,2024/10/04 12:00
5356,2024/10/04 12:00
5357,2024/10/04 12:00
5358,2024/10/04 12:00
