ficha,fechaYHoraInicio
010018,2024/10/07 10:00
010023,2024/10/07 10:00
10029,2024/10/07 10:00
080028,2024/10/07 10:00
080029,2024/10/07 10:00
80004,2024/10/07 10:00
80011,2024/10/07 10:00
80024,2024/10/07 10:00
080033,2024/10/07 10:00
080034,2024/10/07 10:00
080035,2024/10/07 10:00
080038,2024/10/07 10:00
80040,2024/10/07 10:00
100040,2024/10/07 10:00
100047,2024/10/07 10:00
100066,2024/10/07 10:00
100055,2024/10/07 10:00
100071,2024/10/07 10:00
100073,2024/10/07 10:00
100069,2024/10/07 10:00
100072,2024/10/07 10:00
100068,2024/10/07 10:00
100067,2024/10/07 10:00
050081,2024/10/07 10:00
050096,2024/10/07 10:00
050115,2024/10/07 10:00
050121,2024/10/07 10:00
050122,2024/10/07 10:00
050125,2024/10/07 10:00
050127,2024/10/07 10:00
050130,2024/10/07 10:00
050131,2024/10/07 10:00
050132,2024/10/07 10:00
050134,2024/10/07 10:00
050135,2024/10/07 10:00
050136,2024/10/07 10:00
50162,2024/10/07 10:00
50160,2024/10/07 10:00
50159,2024/10/07 10:00
50158,2024/10/07 10:00
50157,2024/10/07 10:00
50161,2024/10/07 10:00
50150,2024/10/07 10:00
50153,2024/10/07 10:00
50148,2024/10/07 10:00
50149,2024/10/07 10:00
50146,2024/10/07 10:00
50144,2024/10/07 10:00
50143,2024/10/07 10:00
030021,2024/10/07 10:00
30023,2024/10/07 10:00
030027,2024/10/07 10:00
30034,2024/10/07 10:00
040100,2024/10/07 10:00
040164,2024/10/07 10:00
040191,2024/10/07 10:00
040193,2024/10/07 10:00
040196,2024/10/07 10:00
40012,2024/10/07 10:00
40026,2024/10/07 10:00
40027,2024/10/07 10:00
040198,2024/10/07 10:00
040199,2024/10/07 10:00
040205,2024/10/07 10:00
040206,2024/10/07 10:00
040211,2024/10/07 10:00
040213,2024/10/07 10:00
040214,2024/10/07 10:00
040215,2024/10/07 10:00
040217,2024/10/07 10:00
040218,2024/10/07 10:00
040222,2024/10/07 10:00
040223,2024/10/07 10:00
40242,2024/10/07 10:00
40240,2024/10/07 10:00
40241,2024/10/07 10:00
40236,2024/10/07 10:00
40235,2024/10/07 10:00
40234,2024/10/07 10:00
40233,2024/10/07 10:00
40231,2024/10/07 10:00
40230,2024/10/07 10:00
40227,2024/10/07 10:00
40228,2024/10/07 10:00
070034,2024/10/07 10:00
070038,2024/10/07 10:00
70041,2024/10/07 10:00
70042,2024/10/07 10:00
60030,2024/10/07 10:00
060035,2024/10/07 10:00
060036,2024/10/07 10:00
60037,2024/10/07 10:00
90007,2024/10/07 10:00
090018,2024/10/07 10:00
090021,2024/10/07 10:00
90022,2024/10/07 10:00
