ficha,fechaYHoraInicio
1920,2024/08/02 10:00
1943,2024/08/02 10:00
1947,2024/08/02 10:00
1957,2024/08/02 10:00
1961,2024/08/02 10:00
1988,2024/08/02 10:00
1993,2024/08/02 10:00
1995,2024/08/02 10:00
2001,2024/08/02 10:00
2003,2024/08/02 10:00
2005,2024/08/02 10:00
2011,2024/08/02 10:00
2016,2024/08/02 10:00
2022,2024/08/02 10:00
2027,2024/08/02 10:00
2038,2024/08/02 10:00
2045,2024/08/02 10:00
2125,2024/08/02 10:00
2129,2024/08/02 10:00
2135,2024/08/02 10:00
2156,2024/08/02 10:00
2176,2024/08/02 10:00
2181,2024/08/02 10:00
2185,2024/08/02 10:00
2192,2024/08/02 10:00
2201,2024/08/02 10:00
2213,2024/08/02 10:00
2218,2024/08/02 10:00
2234,2024/08/02 10:00
2248,2024/08/02 10:00
2271,2024/08/02 10:00
2280,2024/08/02 10:00
2341,2024/08/02 10:00
2351,2024/08/02 10:00
2411,2024/08/02 10:00
2414,2024/08/02 10:00
2428,2024/08/02 10:00
2440,2024/08/02 10:00
1918,2024/08/02 10:00
1931,2024/08/02 10:00
1937,2024/08/02 10:00
1941,2024/08/02 10:00
1987,2024/08/02 10:00
1996,2024/08/02 10:00
2007,2024/08/02 10:00
2017,2024/08/02 10:00
2019,2024/08/02 10:00
2039,2024/08/02 10:00
2137,2024/08/02 10:00
2138,2024/08/02 10:00
2161,2024/08/02 10:00
2177,2024/08/02 10:00
2196,2024/08/02 10:00
2200,2024/08/02 10:00
2217,2024/08/02 10:00
2242,2024/08/02 10:00
2276,2024/08/02 10:00
2277,2024/08/02 10:00
2282,2024/08/02 10:00
2284,2024/08/02 10:00
2287,2024/08/02 10:00
2338,2024/08/02 10:00
1949,2024/08/02 10:00
2349,2024/08/02 10:00
2405,2024/08/02 10:00
2419,2024/08/02 10:00
2439,2024/08/02 10:00
