ficha,fechaYHoraInicio
2896,2024/08/05 13:00
3056,2024/08/05 13:00
2767,2024/08/05 13:00
3060,2024/08/05 13:00
2849,2024/08/05 13:00
2929,2024/08/05 13:00
2880,2024/08/05 13:00
2780,2024/08/05 13:00
2967,2024/08/05 13:00
2835,2024/08/05 13:00
2868,2024/08/05 13:00
2842,2024/08/05 13:00
2844,2024/08/05 13:00
2816,2024/08/05 13:00
2773,2024/08/05 13:00
2930,2024/08/05 13:00
2752,2024/08/05 13:00
2856,2024/08/05 13:00
3094,2024/08/05 13:00
3052,2024/08/05 13:00
3098,2024/08/05 13:00
2769,2024/08/05 13:00
3067,2024/08/05 13:00
2802,2024/08/05 13:00
2746,2024/08/05 13:00
3034,2024/08/05 13:00
2899,2024/08/05 13:00
2827,2024/08/05 13:00
2831,2024/08/05 13:00
2871,2024/08/05 13:00
3009,2024/08/05 13:00
2786,2024/08/05 13:00
2958,2024/08/05 13:00
2790,2024/08/05 13:00
2813,2024/08/05 13:00
2924,2024/08/05 13:00
2897,2024/08/05 13:00
2959,2024/08/05 13:00
2901,2024/08/05 13:00
2981,2024/08/05 13:00
3031,2024/08/05 13:00
2989,2024/08/05 13:00
3048,2024/08/05 13:00
2894,2024/08/05 13:00
2851,2024/08/05 13:00
2947,2024/08/05 13:00
3080,2024/08/05 13:00
2847,2024/08/05 13:00
2865,2024/08/05 13:00
2898,2024/08/05 13:00
2970,2024/08/05 13:00
2742,2024/08/05 13:00
3032,2024/08/05 13:00
2774,2024/08/05 13:00
2971,2024/08/05 13:00
3036,2024/08/05 13:00
3021,2024/08/05 13:00
2804,2024/08/05 13:00
2785,2024/08/05 13:00
2931,2024/08/05 13:00
2795,2024/08/05 13:00
2777,2024/08/05 13:00
3037,2024/08/05 13:00
3095,2024/08/05 13:00
2819,2024/08/05 13:00
2823,2024/08/05 13:00
3076,2024/08/05 13:00
2818,2024/08/05 13:00
3027,2024/08/05 13:00
3073,2024/08/05 13:00
2770,2024/08/05 13:00
3101,2024/08/05 13:00
3040,2024/08/05 13:00
2801,2024/08/05 13:00
2904,2024/08/05 13:00
3035,2024/08/05 13:00
2933,2024/08/05 13:00
2932,2024/08/05 13:00
2942,2024/08/05 13:00
2962,2024/08/05 13:00
