ficha,fechaYHoraInicio
2171,2024/08/06 09:00
2174,2024/08/06 09:00
2241,2024/08/06 09:00
2244,2024/08/06 09:00
2247,2024/08/06 09:00
2263,2024/08/06 09:00
2266,2024/08/06 09:00
2270,2024/08/06 09:00
2278,2024/08/06 09:00
2295,2024/08/06 09:00
2317,2024/08/06 09:00
2343,2024/08/06 09:00
2362,2024/08/06 09:00
2364,2024/08/06 09:00
2410,2024/08/06 09:00
2501,2024/08/06 09:00
2527,2024/08/06 09:00
2552,2024/08/06 09:00
2555,2024/08/06 09:00
2565,2024/08/06 09:00
2590,2024/08/06 09:00
2621,2024/08/06 09:00
2632,2024/08/06 09:00
2673,2024/08/06 09:00
2712,2024/08/06 09:00
2743,2024/08/06 09:00
2746,2024/08/06 09:00
2792,2024/08/06 09:00
2863,2024/08/06 09:00
2869,2024/08/06 09:00
2875,2024/08/06 09:00
2904,2024/08/06 09:00
2911,2024/08/06 09:00
2912,2024/08/06 09:00
2914,2024/08/06 09:00
2915,2024/08/06 09:00
2916,2024/08/06 09:00
2917,2024/08/06 09:00
2919,2024/08/06 09:00
2920,2024/08/06 09:00
2921,2024/08/06 09:00
2922,2024/08/06 09:00
2925,2024/08/06 09:00
2926,2024/08/06 09:00
2927,2024/08/06 09:00
2931,2024/08/06 09:00
2932,2024/08/06 09:00
2933,2024/08/06 09:00
2934,2024/08/06 09:00
2939,2024/08/06 09:00
2940,2024/08/06 09:00
2941,2024/08/06 09:00
2942,2024/08/06 09:00
2945,2024/08/06 09:00
2946,2024/08/06 09:00
2947,2024/08/06 09:00
2949,2024/08/06 09:00
2951,2024/08/06 09:00
2953,2024/08/06 09:00
2954,2024/08/06 09:00
2955,2024/08/06 09:00
2958,2024/08/06 09:00
2959,2024/08/06 09:00
2962,2024/08/06 09:00
2963,2024/08/06 09:00
2968,2024/08/06 09:00
2972,2024/08/06 09:00
2973,2024/08/06 09:00
2975,2024/08/06 09:00
2977,2024/08/06 09:00
