ficha,fechaYHoraInicio
73,2024/08/08 09:00
79,2024/08/08 09:00
108,2024/08/08 09:00
285,2024/08/08 09:00
395,2024/08/08 09:00
472,2024/08/08 09:00
594,2024/08/08 09:00
613,2024/08/08 09:00
634,2024/08/08 09:00
755,2024/08/08 09:00
856,2024/08/08 09:00
869,2024/08/08 09:00
921,2024/08/08 09:00
1032,2024/08/08 09:00
1105,2024/08/08 09:00
1142,2024/08/08 09:00
1145,2024/08/08 09:00
1155,2024/08/08 09:00
1159,2024/08/08 09:00
1166,2024/08/08 09:00
1174,2024/08/08 09:00
1179,2024/08/08 09:00
1188,2024/08/08 09:00
1202,2024/08/08 09:00
1207,2024/08/08 09:00
1215,2024/08/08 09:00
1230,2024/08/08 09:00
1255,2024/08/08 09:00
1259,2024/08/08 09:00
