ficha,fechaYHoraInicio
162,2024/08/09 09:00
163,2024/08/09 09:00
164,2024/08/09 09:00
169,2024/08/09 09:00
173,2024/08/09 09:00
177,2024/08/09 09:00
178,2024/08/09 09:00
179,2024/08/09 09:00
182,2024/08/09 09:00
183,2024/08/09 09:00
185,2024/08/09 09:00
195,2024/08/09 09:00
198,2024/08/09 09:00
199,2024/08/09 09:00
161,2024/08/09 09:00
166,2024/08/09 09:00
168,2024/08/09 09:00
171,2024/08/09 09:00
174,2024/08/09 09:00
186,2024/08/09 09:00
187,2024/08/09 09:00
188,2024/08/09 09:00
190,2024/08/09 09:00
192,2024/08/09 09:00
197,2024/08/09 09:00
200,2024/08/09 09:00
241,2024/08/09 09:00
203,2024/08/09 13:00
215,2024/08/09 13:00
204,2024/08/09 13:00
210,2024/08/09 13:00
211,2024/08/09 13:00
213,2024/08/09 13:00
214,2024/08/09 13:00
217,2024/08/09 13:00
218,2024/08/09 13:00
220,2024/08/09 13:00
221,2024/08/09 13:00
224,2024/08/09 13:00
230,2024/08/09 13:00
237,2024/08/09 13:00
238,2024/08/09 13:00
242,2024/08/09 13:00
201,2024/08/09 13:00
216,2024/08/09 13:00
219,2024/08/09 13:00
223,2024/08/09 13:00
226,2024/08/09 13:00
232,2024/08/09 13:00
234,2024/08/09 13:00
239,2024/08/09 13:00
